id,nama,nama_lengkap,nama_lembaga,id_provinsi,nama_provinsi,jumlah_kursi,jumlah_penduduk
3508-00-0000,Jatim VIII,Jawa Timur VIII,DPR,35,Jatim,10,4282801
3509-00-0000,Jatim IX,Jawa Timur IX,DPR,35,Jatim,6,2255859
3510-00-0000,Jatim X,Jawa Timur X,DPR,35,Jatim,6,2457712
3511-00-0000,Jatim XI,Jawa Timur XI,DPR,35,Jatim,8,3861686
3601-00-0000,Banten I,Banten I,DPR,36,Banten,6,2240759
3602-00-0000,Banten II,Banten II,DPR,36,Banten,6,2357567
3603-00-0000,Banten III,Banten III,DPR,36,Banten,10,5340494
5101-00-0000,Bali,Bali,DPR,51,Bali,9,4227705
5201-00-0000,NTB,Nusa Tenggara Barat,DPR,52,NTB,10,5398573
5301-00-0000,NTT I,Nusa Tenggara Timur I,DPR,53,NTT,6,2335343
5302-00-0000,NTT II,Nusa Tenggara Timur II,DPR,53,NTT,7,3008559
6101-00-0000,Kalbar,Kalimantan Barat,DPR,61,Kalbar,10,5193272
6201-00-0000,Kalteng,Kalimantan Tengah,DPR,62,Kalteng,6,2640070
6301-00-0000,Kalsel I,Kalimantan Selatan I,DPR,63,Kalsel,6,2300949
6302-00-0000,Kalsel II,Kalimantan Selatan II,DPR,63,Kalsel,5,1844894
6401-00-0000,Kaltim,Kalimantan Timur,DPR,64,Kaltim,8,4154954
7101-00-0000,Sulut,Sulawesi Utara,DPR,71,Sulut,6,2583511
7201-00-0000,Sulteng,Sulawesi Tengah,DPR,72,Sulteng,6,2935343
7301-00-0000,Sulsel I,Sulawesi Selatan I,DPR,73,Sulsel,8,3326769
7302-00-0000,Sulsel II,Sulawesi Selatan II,DPR,73,Sulsel,9,3266087
7303-00-0000,Sulsel III,Sulawesi Selatan III,DPR,73,Sulsel,7,2775251
7401-00-0000,Sultra,Sulawesi Tenggara,DPR,74,Sultra,5,2691623
7501-00-0000,Gorontalo,Gorontalo,DPR,75,Gorontalo,3,1147528
7601-00-0000,Sulbar,Sulawesi Barat,DPR,76,Sulbar,3,1589162
8101-00-0000,Maluku,Maluku,DPR,81,Maluku,4,1866248
8201-00-0000,Malut,Maluku Utara,DPR,82,Malut,3,1258354
9101-00-0000,Papua,Papua,DPR,91,Papua,10,4224232
9201-00-0000,Pabar,Papua Barat,DPR,92,Pabar,3,1091171
1100-01-0000,Aceh 1,Aceh 1,DPRDI,11,Aceh,11,
1100-02-0000,Aceh 2,Aceh 2,DPRDI,11,Aceh,9,
1100-03-0000,Aceh 3,Aceh 3,DPRDI,11,Aceh,7,
1100-04-0000,Aceh 4,Aceh 4,DPRDI,11,Aceh,6,
1100-05-0000,Aceh 5,Aceh 5,DPRDI,11,Aceh,12,
1100-06-0000,Aceh 6,Aceh 6,DPRDI,11,Aceh,6,
1100-07-0000,Aceh 7,Aceh 7,DPRDI,11,Aceh,7,
1100-08-0000,Aceh 8,Aceh 8,DPRDI,11,Aceh,5,
1100-09-0000,Aceh 9,Aceh 9,DPRDI,11,Aceh,9,
1100-10-0000,Aceh 10,Aceh 10,DPRDI,11,Aceh,9,
1200-01-0000,Sumut 1,Sumatera Utara 1,DPRDI,12,Sumut,10,
1200-02-0000,Sumut 2,Sumatera Utara 2,DPRDI,12,Sumut,7,
1200-03-0000,Sumut 3,Sumatera Utara 3,DPRDI,12,Sumut,12,
1200-04-0000,Sumut 4,Sumatera Utara 4,DPRDI,12,Sumut,5,
1200-05-0000,Sumut 5,Sumatera Utara 5,DPRDI,12,Sumut,10,
1200-06-0000,Sumut 6,Sumatera Utara 6,DPRDI,12,Sumut,8,
1200-07-0000,Sumut 7,Sumatera Utara 7,DPRDI,12,Sumut,10,
1200-08-0000,Sumut 8,Sumatera Utara 8,DPRDI,12,Sumut,6,
1200-09-0000,Sumut 9,Sumatera Utara 9,DPRDI,12,Sumut,9,
1200-10-0000,Sumut 10,Sumatera Utara 10,DPRDI,12,Sumut,8,
1200-11-0000,Sumut 11,Sumatera Utara 11,DPRDI,12,Sumut,5,
1200-12-0000,Sumut 12,Sumatera Utara 12,DPRDI,12,Sumut,10,
1300-01-0000,Sumbar 1,Sumatera Barat 1,DPRDI,13,Sumbar,10,
1300-02-0000,Sumbar 2,Sumatera Barat 2,DPRDI,13,Sumbar,7,
1300-03-0000,Sumbar 3,Sumatera Barat 3,DPRDI,13,Sumbar,8,
1300-04-0000,Sumbar 4,Sumatera Barat 4,DPRDI,13,Sumbar,9,
1300-05-0000,Sumbar 5,Sumatera Barat 5,DPRDI,13,Sumbar,6,
1300-06-0000,Sumbar 6,Sumatera Barat 6,DPRDI,13,Sumbar,11,
1300-07-0000,Sumbar 7,Sumatera Barat 7,DPRDI,13,Sumbar,7,
1300-08-0000,Sumbar 8,Sumatera Barat 8,DPRDI,13,Sumbar,7,
