id,id_wilayah,kategori_id,pemohon,termohon,obyek_sengketa,keputusan_putasan,upload_file,tanggal,parpol_pendukung
75,25023,,,,,,_Keputusan Panwaslu Kabupaten Lampung Timur.pdf,9/16/2015 18:42,NULL
76,25023,,Hi. Julianto Paimin - Hi. Achrodji,KPU Kabupaten Lampung Timur,,Keputusan KPU Kabupaten Lampung Timur Nomor : 42/Kpts/KPU-Kab-008.435605/Tahun 2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati yang Memenuhi Persyaratan Peserta Pemilihan Bupati dan Wakil Bupati Lampung Timur Tahun 2015,76__Keputusan Panwaslu Kabupaten Lampung Timur.pdf,9/16/2015 18:43,NULL
77,68250,,,,,,_Keputusan Bawaslu Provinsi Sulawesi Utara.pdf,9/21/2015 9:23,NULL
78,68250,,"Dr. Elly Engelbert Lasut, ME - David Bobihoe Akib",KPU Provinsi Sulawesi Utara,,Keputusan KPU Provinsi Sulawesi Utara Nomor : 35/Kpts/KPU-PROV-023/PILGUB/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Gubernur dan Wakil Gubernur Sulawesi Utara Tahun 2015,78__Keputusan Bawaslu Provinsi Sulawesi Utara.pdf,9/21/2015 9:24,NULL
79,73983,,,,,,_Keputusan Panwaslu Kabupaten Soppeng.pdf,9/21/2015 9:47,NULL
80,73983,,Drs. H. Andi Kaharuddin - Drs. H. Andi Kastahar,KPU Kabupaten Soppeng,,Keputusan KPU Kabupaten Soppeng Nomor : 60/Kpts-Pilbup/KPU-Kab-025.433340/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Peserta Pemilihan Bupati dan Wakil Bupati Soppeng Tahun 2015,80__Keputusan Panwaslu Kabupaten Soppeng.pdf,9/21/2015 9:47,NULL
81,8742,,,,,,_Keputusan Panwaslu Kabupaten Simalungun.pdf,9/21/2015 10:43,NULL
82,8742,,"Lindung Gurning - Soleh Saragih, SH",KPU Kabupaten Simalungun,,"(1) Keputusan KPU Kabupaten Simalungun Nomor : 31/Kpts/KPU-Sim/002.434769/VIII/2015 tanggal 4 Agustus 2015 tentang Hasil Pencermatan dan Koreksi atau Pembetulan Proses Pergantian Pasangan Calon Perseorangan atas nama Drs. HT Zulkarnain Damanik, MM dan Burhanudin Sinaga; (2) Keputusan KPU Kabupaten Simalungun Nomor : 33/Kpts/KPU-Sim/002.434769/VIII/2015 tanggal 5 Agustus 2015 tentang Pembatalan Keputusan KPU Kabupaten Simalungun Nomor : 27/KPU-Sim/002.434769/VIII/2015 dan Nomor : 29/KPU-Sim/002.434769/VIII/2015 ; serta (3) Keputusan KPU Kabupaten Simalungun Nomor :  36/Kpts/KPU-Sim/002.434769/VIII/2015 tanggal 7 Agustus 2015 tentang Penolakan Berkas Dokumen atas nama Lindung Gurning - Soleh Saragih, SH",82__Keputusan Panwaslu Kabupaten Simalungun.pdf,9/21/2015 10:43,NULL
83,80691,,,,,,_Keputusan Panwaslu Kabupaten Kepulauan Aru 1.pdf,9/21/2015 13:55,NULL
84,80691,,Godlief Ambrosius A. Gainau - Djafrudin Hamu,KPU Kabupaten Kepulauan Aru,,Keputusan KPU Kabupaten Kepulauan Aru Nomor : 29/Kpts/KPU-Kab/029.433676/VIII/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon yang Memenuhi Syarat Sebagai Peserta Pemilihan Bupati dan Wakil Bupati Kepulauan Aru Tahun 2015,84__Keputusan Panwaslu Kabupaten Kepulauan Aru 1.pdf,9/21/2015 13:55,NULL
85,81967,,,,,,_Keputusan Panwaslu Kabupaten Halmahera Timur.pdf,9/21/2015 14:17,NULL
86,81967,,"Dheni Tjan, SH., M.Si - Delfi M. Sen An.",KPU Kabupaten Halmahera Timur,,Keputusan KPU Kabupaten Halmahera Timur Nomor : 37/Kpts/KPU-Haltim/029.436333/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Peserta Pemilihan Bupati dan Wakil Bupati Halmahera Timur Tahun 2015,86__Keputusan Panwaslu Kabupaten Halmahera Timur.pdf,9/21/2015 14:17,NULL
87,83188,,,,,,_Keputusan Panwaslu Kabupaten Nabire.pdf,9/21/2015 14:26,NULL
88,83188,,Drs. Fabianus Yobee,KPU Kabupaten Nabire,,Keputusan KPU Kabupaten Nabire Nomor : 9/Kpts/KPU.Nabire/VIII/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati Peserta Pemilihan Bupati dan Wakil Bupati Nabire Tahun 2015,88__Keputusan Panwaslu Kabupaten Nabire.pdf,9/21/2015 14:26,NULL
89,13696,,,,,,_Keputusan Panwaslu Kabupaten Tanah Datar.pdf,9/21/2015 14:38,NULL
90,13696,,"H. Nelson Darwis, SH - Drs. Muzwar M",KPU Kabupaten Tanah Datar,,Keputusan KPU Kabupaten Tanah Datar Nomor : 49 Tahun 2015 tentang Penetapan Pasangan Calon Bupati dan Wakil Bupati Tanah Datar Tahun 2015 ,90__Keputusan Panwaslu Kabupaten Tanah Datar.pdf,9/21/2015 14:38,NULL
91,62153,,,,,,_Keputusan Panwaslu Kabupaten Sekadau.pdf,9/21/2015 18:12,NULL
92,62153,,"Yansen Akun Effendy, SH., M.Si., MH",KPU Kabupaten Sekadau,,Keputusan KPU Kabupaten Sekadau Nomor : 78/Kpts/KPU-Kab/019.435718/2015 tanggal 24 Agustus 2015 tentang Penetapan Pasangan Calon yang Tidak Memenuhi Syarat sebagai Peserta Pemilihan Bupati dan Wakil Bupati Sekadau Tahun 2015,92__Keputusan Panwaslu Kabupaten Sekadau.pdf,9/21/2015 18:13,NULL
93,64768,,,,,,_Keputusan Panwaslu Kabupaten Banjar.pdf,9/22/2015 14:23,NULL
94,64768,,"H. Gusti Abidinsyah, S.Sos., MM - H. Mawardi Abbas, S.Sos",KPU Kabupetan Banjar,,Berita Acara KPU Kabupaten Banjar Nomor : 22/BA/VII/2015 tanggal 28 Juli 2015 tentang Penelitian Berkas Pendaftaran Persyaratan Pencalonan dan Persyaratan Calon Pasangan Bupati dan Wakil Bupati Banjar Tahun 2015,94__Keputusan Panwaslu Kabupaten Banjar.pdf,9/22/2015 14:23,NULL
95,21386,,,,,,_Putusan PT.TUN Medan - Kab. PALI.pdf,9/28/2015 19:09,NULL
96,21386,,"H. Eftiyani, SH - M. Mukhtar Jayadi, SH",KPU Kabupaten Muara Enim,,"Keputusan KPU Kabupaten Muara Enim
Nomor : 46/KPTS/KPU-Kab-006.435441/2015 tanggal 24 Agustus
2015 tentang Penetapan Bakal Pasangan Calon sebagai Pasangan Calon
Bupati dan Wakil Bupati Penukal Abab Lematang Ilir Tahun 2015",96__Putusan PT.TUN Medan - Kab. PALI.pdf,9/28/2015 19:10,NULL
