kelurahan,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,data_masuk,resource
WONOREJO,9.177,5.605,597,4.92,5.517,88,5.605,100.00%,https://pilkada2015.kpu.go.id/surabayakota/rungkut
BRINGIN,3.445,2.054,345,1.66,2.005,49,2.054,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sambikerep
LONTAR,18.791,10.129,1.438,8.506,9.944,184,10.128,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sambikerep
MADE,5.675,3.188,515,2.613,3.128,60,3.188,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sambikerep
SAMBIKEREP,13.327,7.129,1.23,5.779,7.009,120,7.129,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sambikerep
BANYU URIP,27.849,14.908,2.108,12.529,14.927,308,15.24,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sawahan
KUPANG KRAJAN,17.71,9.439,1.283,7.955,9.218,201,9.439,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sawahan
PAKIS,26.7,14.657,2.141,12.215,14.026,279,14.308,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sawahan
PETEMON,28.803,14.746,1.607,12.895,14.293,238,14.529,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sawahan
PUTAT JAYA,32.206,16.731,3.404,12.924,16.328,401,16.729,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sawahan
SAWAHAN,14.985,7.474,1.029,6.293,7.322,152,7.474,100.00%,https://pilkada2015.kpu.go.id/surabayakota/sawahan
AMPEL,14.886,6.279,882,5.27,5.917,118,6.035,100.00%,https://pilkada2015.kpu.go.id/surabayakota/semampir
PEGIRIAN,22.232,9.153,1.438,7.324,8.762,166,8.928,100.00%,https://pilkada2015.kpu.go.id/surabayakota/semampir
SIDOTOPO,23.138,9.413,1.444,7.813,9.388,172,9.64,100.00%,https://pilkada2015.kpu.go.id/surabayakota/semampir
UJUNG,23.822,8.616,1.686,6.411,8.097,150,8.244,100.00%,https://pilkada2015.kpu.go.id/surabayakota/semampir
WONOKUSUMO,43.553,19.294,2.601,16.378,18.807,313,19.12,100.00%,https://pilkada2015.kpu.go.id/surabayakota/semampir
KAPASAN,10.55,5.368,674,4.592,5.266,102,5.368,100.00%,https://pilkada2015.kpu.go.id/surabayakota/simokerto
SIDODADI,12.835,5.109,692,4.318,4.889,97,4.986,100.00%,https://pilkada2015.kpu.go.id/surabayakota/simokerto
SIMOKERTO,16.1,7.866,849,6.885,7.734,132,7.866,100.00%,https://pilkada2015.kpu.go.id/surabayakota/simokerto
