id,id_calon,judul,deskripsi,tanggal_mulai,waktu_mulai,tanggal_selesai,waktu_selesai
0026,hr,"Hatta Rajasa mendatangi Pondok Pesantren Al Mubarok, Serang, Banten","Cawapres Koalisi Merah Putih, Hatta Rajasa mendatangi Pondok Pesantren Al Mubarok, Serang, Banten, Kamis (5/6). Kedatangan Hatta disambut oleh pimpinan ponpes Al Mubarok, KH Mahmudi",2014-06-05,,2014-06-05,
0027,ps,Prabowo gandeng para pendaki untuk deklarasi di puncak gunung,Tim pemenangan kampanye pasangan Prabowo-Hatta terus melakukan safari politik guna mendulang suara yang besar dalam Pilpres 9 Juli nanti. Tim Prabowo-Hatta akan menggandeng kelompok-kelompok pecinta alam guna meraih suara dalam pilpres mendatang.,2014-06-06,,2014-06-06,
0028,"ps,hr,jw,jk","Fokus Debat,Prabowo-Hatta dan Jokowi-JK Hari Ini Absen Blusukan","Hari ini Prabowo Subianto-Hatta Rajasa dan Jokowi-Jusuf Kalla akan mengikuti debat kandidat Capres-Cawapres. Tema debat kali ini adalah pembangunan Demokrasi,pemerintahan yang bersih dan kepastian hukum. debat dijadwalkan akan dimulai pukul 19.30 WIB di Balai Sarbini,Jakarta Selatan.demi mempersiapkan debat kedua pasangan itu memilih rehat sejenak.kedua pasangan itu hari ini tidak melaksanakan aktivitas blusukan.",2014-06-09,19.30 WIB,2014-06-09,21.30 WIB
0029,hr,Ini Janji Hatta Saat Kampanye di Banten,"Hatta Rajasa dalam berkampanye di Stadion Maulana Yusuf Ciceri Kota Serang, Banten, Kamis (5/6/2014),",2014-06-05,,2014-06-05,
0030,hr,Hatta Rajasa datangi pesantren di Bekasi,"Hatta yang didampingi sekjen Golkar Idrus Marham dan Bupati Bekasi Neneng Hasanah Yasin,menyambangi pesantren perguruan islam Yapink dan bertemu dengan sejumlah guru disana",2014-06-07,,2014-06-07,
0031,jk,Kampanye Terbuka Riau,Kampanye Terbuka JK Riau,2014-06-07,,2014-06-07,
0032,"jk,jw","Kampanye Terbuka Banten, Nusa Tenggara Timur, Kalimantan Selatan, Kalimantan Timur, Maluku, dan Papua Barat","Kampanye Terbuka Jokowi/JK Banten, Nusa Tenggara Timur, Kalimantan Selatan, Kalimantan Timur, Maluku, dan Papua Barat",2014-06-08,,2014-06-08,
0033,jw,Kampanye Terbuka Sumatera Utara,Kampanye Terbuka Jokowi Sumatera Utara,2014-06-09,,2014-06-10,
0034,jk,"Kampanye Terbuka Maluku, Maluku Utara dan Papua Barat","Kampanye Terbuka JK Maluku, Maluku Utara dan Papua Barat",2014-06-09,,2014-06-11,
0035,jw,Kampanye Terbuka Sumatera Selatan dan Kepulauan Riau,Kampanye Terbuka Jokowi Sumatera Selatan dan Kepulauan Riau,2014-06-11,,2014-06-11,
0036,jw,"Kampanye Terbuka Maluku, Maluku Utara",Kampanye Terbuka Jokowi Lampung,2014-06-12,,2014-06-12,
0037,jk,Kampanye Terbuka Sulawesi Tengah,Kampanye Terbuka JK Sulawesi Tengah,2014-06-12,,2014-06-12,
0038,jw,Kampanye Terbuka Banten,Kampanye Terbuka Jokowi Banten,2014-06-13,,2014-06-13,
0039,jw,Kampanye Terbuka Jawa Barat,Kampanye Terbuka Jokowi Jawa Barat,2014-06-14,,2014-06-15,
