id,id_calon,kutipan,context_kutipan,tanggal,nama_sumber,judul_sumber,excerpt_sumber,url_sumber,format
0033,jw,"Tegas itu ada dua kriteria.Pertama,berani memutuskan dan kedua,berani mengambil resiko",,2014-06-12,Merdeka.com,"Jokowi: Tegas itu bukan badanya besar,saya kecil juga tegas","Capres Joko Widodo (Jokowi) kampanye dengan tajuk silahturahmi kiai kampung untuk Jokowi-JK di Tasikmalaya,Jawa Barat.Jokowi menuturkan pemimpin yang baik itu harus tegas.",http://www.merdeka.com/politik/jokowi-tegas-itu-bukan-badannya-besar-saya-kecil-juga-tegas.html,
0034,jw,Itu akan saya pakai kewenangan presiden kepada saya dalam menentukan meneteri dan kepala negara,,2014-06-12,Merdeka.com,"Soal Capres boneka,Jokowi sebut gak bisa ditarik-tarik","Joko Widodo (Jokowi) menjelaskan tudingan yang menyebutnya Capres boneka.menurutnya,sistem di Indonesia menganut presidensial sehingga kepala negara punya kewenangan untuk menentukan kabinet.",http://www.merdeka.com/politik/soal-capres-boneka-jokowi-sebut-gak-bisa-ditarik-tarik.html,
0035,jw,Ya nanti dilihat.nanti sebentar lagi dilihat.ya lihat saja nanti akan mendeklarasikan diri,,2014-06-11,Merdeka.com,Jokowi sebut bakal ada elite Golkar merapat ke kubunya,Capres Joko Widodo (Jokowi) hadir dalam seminar World Oceans Day yang diselenggarakan kementrian kelautan dan perikananpimpinan wakil ketua umum Golkar Syarif Tjitjip Soetardjo.kehadirannya ini membuat Jokowi merasa yakin elite Partai Golkar itu bakal merapat mendukung pasangan Jokowi-JK,http://www.merdeka.com/politik/jokowi-sebut-bakal-ada-elite-golkar-merapat-ke-kubunya.html,
0036,jw,"ora popo..,moga-moga yang buat fitnah,yang jelek-jeleki diberi kesadaran oleh Allah dan diberi kejalan yang benar.kalau doa saya hanya itu.nggak usah fitnah dilawan fitnah,kejelekkan dilawan kejelekkan nggak perlu.fitnah itu dilawan dengan kesabaran,kejelekkan dilawan kebaikan.",,2014-06-27,Liputan6.com,"Jokowi: Ora popo,fitnah dilawan dengan kesabaran","Mendapat predikat capres yang paling banyak mendapat serangan kampanye hitam,Jokowi tak banyak komentar.ia justru berharap siapapun pihak yang menyebar kampanye hitam diberi kesadaran dan tidak lagi menebar fitnah yang dapat merugikan orang lain.",http://indonesia-baru.liputan6.com/read/2069425/jokowi-ora-popo-fitnah-dilawan-dengan-kesabaran,
0037,jw,"Ya nanti,minggu terakhir akan ada sesuatu lah.minggu terakhir kita akan melakukan sesuatu,kejutan.sehingga 9 Juli nanti semua terkejut.",,2014-06-26,Liputan6.com,Jokowi: 9 Juli semua akan terkejut,"selain itu Jokowi menegaskan,dirinya akan menyiapkan sebuah sikap dan tindakan di detik-detik akhir jelang pemilihan presiden yang tinggal sekitar 2 minggu lagi.",http://indonesia-baru.liputan6.com/read/2069214/jokowi-9-juli-semua-akan-terkejut,
0038,jw,"saya nggak pernah nyoba rokok,sebatang aja nggak pernah.cuma nge-jam,hehe",,2014-06-25,Liputan6.com,"Tak merokok,Jokowi hanya suka nge-jam","Gubernur nonaktif DKI Jakarta itu mengaku,sejak dulu dia tak pernah sekalipun mencoba rokok.",http://indonesia-baru.liputan6.com/read/2068386/tak-merokok-jokowi-hanya-suka-nge-jam,
0039,jw,"banyak orang mengklaim dekat dengan buruh dan pekerja.kalau saya kan betul-betul dari sebuah hidup yang sangat berat dan miskin.oleh sebab itu saya bisa merasakan.kalau tidak pernah merasakan hidup suit dan hidup enak terus,apa bisa dekat dengan bapak dan ibu semua ?logikanya dimana ?",,2014-06-30,Liputan6.com,"Jokowi: Kalau buruh mendukung,saya bisa jadi presiden","Capres nomor urut 2 Joko Widodo mengungkapkan calon pemimpin yang dapat memahami penderitaan rakyat,khususnya kaum buruh,adalah figur yang pernah berada dalam kondisi tersebut.",http://indonesia-baru.liputan6.com/read/2070904/jokowi-kalau-buruh-mendukung-saya-bisa-jadi-presiden,
0040,jw,Kalau orasi itu apa sih?kita sudah 15 tahun berwacana dan beretorika di panggung.ya nggak?saat ini adalah saatnya melaksanakan.bukan naik panggung angkat tangan.,,2014-06-30,Liputan6.com,"Jokowi: Cukup 15 tahun beretorika,sekarang saatnya melaksanakan","Capres nomor urut 2 Joko Widodo membeberkan alasannya lebih banyak blusukan ke pasar-pasar dibandingkan dengan berorasi diatas panggung.menurut pria yang karib disapa Jokowi itu,sekarang sudah waktunya untuk langsung pelaksanaan.bukan cuma beretorika di panggung.",http://indonesia-baru.liputan6.com/read/2070859/jokowi-cukup-15-tahun-beretorika-sekarang-saatnya-melaksanakan,
0041,jw,"Nggak apa-apa di pasar berkeringat,karena tidak pakai AC.tapi kalau bisa ditata,dengan manajemen yang bagus.sehingga,orang pasti pilih ke pasar karena harganya lebih kompetitif,tidak terbebani pajak,listrik,lampu seperti ini",,2014-06-30,Liputan6.com,Alasan Jokowi blusukan ke Mall,"dia mengatakan,hal yang perlu diperhatikan adalah perbedaan manajemen pengelolaan pasar tradisional dengan manajemen sebuah mall.seperti kebersihan,kenyamanan,serta ketersediaan lahan parkir.meski tak harus memiliki pendingin ruangan atau air conditioner (AC),pasar tradisional setidaknya harus tertata rapi dan nyaman serta bersih.",http://indonesia-baru.liputan6.com/read/2070815/alasan-jokowi-blusukan-ke-mal,
0042,jw,Kita ke lapangan blusukan itu supaya kita tidak canggung bertemu warga.tidak kaku bercengkrama dengan masyarakat,,2014-06-30,Liputan6.com,Jokowi: Blusukan itu supaya tidak canggung bertemu dengan warga,"Calon presiden Joko Widodo alias Jokowi menyatakan,blusukan yang dilakukannya ke pasar ataupun ke kampung-kampung,bukan hanya untuk mendeteksi permasalahan rakyat.tetapi juga agar dekat dengan rakyat",http://indonesia-baru.liputan6.com/read/2070876/jokowi-blusukan-itu-supaya-tidak-canggung-bertemu-warga,
0043,jw,sampai sekarang sulit mencari sosok sekelas Gus Dur.ulama tapi juga sebagai presiden.ini kan luar biasa,,2014-06-28,Liputan6.com,Jokowi: sulit mencari sosok sekelas Gus Dur,"menurut Jokowi,sosok Gus Dur yang juga mantan ketua umum pengurus besar Nahdlatul Ulama (PBNU)merupakan tokoh ulama yang luar biasa.",http://indonesia-baru.liputan6.com/read/2070171/jokowi-sulit-mencari-sosok-sekelas-gus-dur,
0044,jw,"saya bangga ke pak JK,karena penguasaan lapangan kelihatan,penguasaan JK sebagai pelaku.saya kita sudah komplet semua.terutama yang berkaitan dengan pendidikan.keluarga merupakan guru abadi bagi anak",,2014-06-30,Merdeka.com,"Jokowi: Saya bangga ke JK,penguasaan lapangan kelihatan","Capres Joko Widodo (Jokowi) menyaksikan cawapresnya, Jusuf Kalla (JK) yang berdebat dengan Hatta Rajasadi Hotel Bidakara. Jokowi mengaku bangga dengan performa JK selama debat berlangsung.",http://www.merdeka.com/politik/jokowi-saya-bangga-ke-jk-penguasaan-lapangan-kelihatan.html,
0045,jw,"Kita butuh ketegasan,tidak ada hubungan ketegasan dengan kondisi badan yang gemuk ataupun kerempeng.gak ada hubungannya.dipikir saya gak bisa tegas.",,2014-07-03,Merdeka.com,Jokowi: ketegasan tak ada hubungan gemuk atau kerempeng,Indonesia saat ini membutuhkan pemimpin yang tegas.ketegasan hanya dapat dibuktikan dalam keputusannya dan berani bertanggung jawab.,http://www.merdeka.com/politik/jokowi-ketegasan-tak-ada-hubungan-gemuk-atau-kerempeng.html,
0046,jw,"stop impor beras,ikan,juga buah.ketahanan pangan adalah kunci kebesaran bangsa",,2014-07-03,Liputan6.com,Jokowi: Ketahanan pangan adalah kunci kebesaran bangsa,Gubernur nonaktif DKI Jakarta ini juga memuji Cianjur yang menurutnya merupakan lumbung padi nasional.,http://indonesia-baru.liputan6.com/read/2072246/jokowi-ketahanan-pangan-kunci-kebesaran-bangsa,
0047,jw,"nanti kalau sudah jadi presiden,program itu bisa lebih cepat terlaksanakan",,2014-07-03,Liputan6.com,"Jokowi: jadi presiden,program DKI bisa lebih cepat rampung",Banyak yang menilai capres Joko Widodo ingkar atas janji-janji dan programnya untuk mengurus Ibukota sewaktu masih menjadi calon gubernur DKI Jakarta. Namun pria yang karib disapa Jokowi itu berjanji akan melaksanakan semua program dan janji dengan lebih cepat saat dirinya terpilih menjadi presiden kelak.,http://indonesia-baru.liputan6.com/read/2072309/jokowi-jadi-presiden-program-dki-bisa-lebih-cepat-rampung,
0048,jk,"Ah, tidak mungkin dapat sanksi. Saya kan bukan pengurus Partai Golkar",JK memberikan tannggapannya ketika ditanya soal pemberian sanksi jika mengikuti konvensi Partai Demokrat,2014-04-29,rmol.com,"Jusuf Kalla: Tidak Mungkin Dapat Sanksi, Saya Bukan Pengurus Golkar","""Ah, tidak mungkin dapat sanksi. Saya kan bukan pengurus Partai Golkar,"" kata bekas Wapres itu kepada Rakyat Merdeka, kemarin.","http://www.rmol.co/read/2013/04/29/108320/Jusuf-Kalla:-Tidak-Mungkin-Dapat-Sanksi,-Saya-Bukan-Pengurus-Golkar-",artikel
0049,jk,"Selama ada datanya silahkan (kampanye negatif), asal jangan fitnah, kalau fitnah kita adukan",JK memberikan tanggapannya tentang kampanye damai,2014-06-04,m.liputan6.com,Jusuf Kalla: Silahkan Kampanye Negatif Asal Jangan FItnah,,http://m.liputan6.com/video/read/2058254/jusuf-kalla-silakan-kampanye-negatif-asal-jangan-fitnah,artikel
0050,jk,Pemerintah itu memerintah bukan menghimbau,,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,artikel
0051,jk,biar tidak capek itu harus ikhlas. ikhlas itu sama antara hati. pikiran dan perbuatan,,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0052,jk,Pekerjaan yang baik tanpa perencanaan hanya akan menjadi sulit. Perencanaan yang baik tanpa pelaksanaan hanya akan jadi arsip,,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0053,jk,"Kita bisa selesaikan semua masalah bangsa sepanjang ada KEMAUAN. Namun, tidak mungkin kita selesaikan semua masalah tanpa ada KEMAMPUAN.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0054,jk,"Ini bukan potret bobroknya pedidikan tapi (buruknya) ekonomi. Sebab, ini menunjukkan bahwa tidak ada yang bisa mengalahkan semangat sekolah anak Indonesia di dunia ini! Bergelantungan di jembatan, dalam keadaan apapun anak-anak itu tetap mau pergi sekolah.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0055,jk,"Kalau tak mau bertanggung jawab, jangan jadi pemimpin karena kerja anda hanya akan saling menyalahkan",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0056,jk,Kekuasaan dan materi tetaplah bisa membuat orang korupsi sebab yang membatasi seseorang untuk tidak berlaku jahat adalah moral dan nilai yang diyakini orang itu,,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0057,jk,"Ikhlas membuat kita tidak pernah merasa capek, walaupun banyak tugas dan pekerjaan yang harus diselesaikan.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0058,jk,Tidak ada suatu negara maju tanpa pendidikan yang keras.,,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0059,jk,"Bangsa yang maju bukan tergantung pada luas wilayah atau melimpahnya kekayaan sumber alamnya, melainkan karena spiritnya, kamauannya dan inovasinya.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0060,jk,"Hanya orang berani yang mau berkonflik, tetapi lebih berani lagi orang yang tengah berkonflik namun bersedia berdamai.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0061,jk,"Jangan Kita Menjelek-Jelekkan Bangsa Ini. Kalau Kita Semua Selalu Mengejek, Siapa Yang Harus Menghargai Bangsa Ini?",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0062,jk,"Keberhasilan tidak akan datang kepada mereka yang berdiam diri, tetapi keberhasilan akan datang kepada mereka yang menjemputnya.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0063,jk,"Berapapun dana yang dapat disalurkan, apapun teknologi yang dikerahkan, tanpa semangat entrepreneurship, tak ada gunanya",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0064,jk,Kesulitan hanya tunduk pada orang yang berjuang. Kesukaran hanya takluk pada orang yang sabar. Kekuatan mengiringi orang yang ikhlas.,,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0065,jk,"Bacalah, maka Anda akan mengenal dunia. Menulislah, maka dunia akan mengenal Anda.",,,pinterest.com,,,http://www.pinterest.com/jusufkalla/quote-jusuf-kalla/,
0066,jk,"Zaman sekarang bukan zamannya kampanye raksasa, dialog juga efektif kalau ada media",,2014-06-04,kabar7.com,Jusuf kalla: Lebih Suka Kampanye Dialog,,http://kabar7.com/kabar7-jusuf-kalla-lebih-suka-kampanye-dialog.html,
0067,jk,"Tidak dengan marah-marah, tidak dengan lempar-lempar. Amarah dan tegas itu berbeda",,2014-05-30,,,,,
0068,jk,Jangan Presiden dipilih hanya karena uji coba,,2014-05-25,"youtube, bisnis.com","Jusuf Kalla: Jokowi Capres, Bisa Hancur Negara Ini",,http://www.youtube.com/watch?v=MqUp15V3WCY,
0069,jk,"Tentu saja kita senang. Insya Allah antusiasme masyarakat di manapun besar, itu artinya",,2014-05-06,detiknews.com,"Jokowi masih ungguli prabowo di survei, jk; tentu kita senang",Dua survei terbaru yang dirilis hari ini menunjukkan elektabilitas pasangan capres/cawapres Joko Widodo-Jusuf Kalla masih mengungguli pasangan Prabowo Subianto-Hatta Rajasa. JK mengaku senang dengan hasil tersebut.,http://news.detik.com/pemilu2014/read/2014/06/05/232913/2601361/1562/jokowi-masih-ungguli-prabowo-di-survei-jk-tentu-kita-senang?992204topnews,
0070,jk,Nomor dua itu tanda kemenangan. V itu victory,,2014-02-01,antaranews.com,arti nomer urut 2 bagi jk dan jokowi,Calon Wakil Presiden Jusuf Kalla menyebut nomor urut dua sebagai tanda kemenangan bagi dia dan Calon Presiden Joko Widodo pada Pilpres 2014.,http://www.antaranews.com/pemilu/berita/436775/arti-nomor-urut-2-bagi-jk-dan-jokowi,
0071,jk,"Masjid di samping bicara ibadah akidah, harus juga bicara muamalah perdagangan",,2014-02-08,rmol.co,"Dihadapan ratusan kiai NU, jk jelaskan masjid jangan hanya urus ibadah","Jusuf Kalla berharap peran masjid bisa diperluas. Masjid yang saat ini hanya menjadi sarana pelaksanaan ibadah, harus bisa memfasilitasi bidang muamalah, terutama perdagangan.","http://www.rmol.co/read/2014/02/08/143102/Di-Hadapan-Ratusan-Kiai-NU,-JK-Tegaskan-Masjid-jangan-hanya-Urus-Ibadah-",
0072,jk,"Saya tahu pertanian, perikanan sangat penting tapi manufacturing yang juga memberikan lapangan kerja banyak itu sama pentingnya",,,,Jokowi-JK janji buka lapangan kerja lebih banyak,"Bakal calon presiden Jusuf Kalla (JK) berjanji akan membuka lapangan kerja lebih banyak lagi. Menurutnya, meski dibidang pertanian dan perikanan cukup penting, namun bidang manufacturing (industri) juga sangat penting",http://www.pemilu.com/berita/2014/05/jokowi-jk-janji-buka-lapangan-kerja-lebih-banyak/,
