id_calon,ringkasan
1101-00-0000-0901,MAN 1 ACEH BESAR
1101-00-0000-0901,DAYAH DAARUL MUA'ARIF AL-ISTIQOMADIN LAM ATEUK
1101-00-0000-0901,FKIP UNSYIAH
1101-00-0000-0902,"1986, MIN TUNGKOP ACEH BESAR"
1101-00-0000-0902,"1989, SMPN 13 DAARUSSALAM"
1101-00-0000-0902,"1992, SMA 3 BANDA ACEH"
1101-00-0000-0902,"1988, S1 FAKULTAS EKONOMI UNSYIAH"
1101-00-0000-0902,"2001, S2 HUMAN RESOURCES UNIVERSITAS BRAWIJAYA"
1101-00-0000-0903,"1962, SRI BANDA ACEH"
1101-00-0000-0903,"1966, SMI BANDA ACEH"
1101-00-0000-0903,"1969, MADRASAH ALIYAH DAARUSSYARIAH"
1101-00-0000-0903,"1970, S1 IAIN AR-RANIRY"
1101-00-0000-0904,"1974, S1 FAKULTAS SYARIAH"
1101-00-0000-0904,"1995, S2 PENGKAJIAN ISLAM IAIN AR-RANIRY"
1101-00-0000-0904,"2002, S3 UIN SYARIF HIDAYATULLAH JAKARTA"
1101-00-0000-0905,"1958, SD MEDAN"
1101-00-0000-0905,"1960, SMP MEDAN"
1101-00-0000-0905,"1963, SMA MEDAN"
1101-00-0000-0905,"1970, UNIVERISITAS INDONESIA"
1101-00-0000-0905,"2004, UNIVERSITAS PADJAJARAN"
1101-00-0000-0906,"1968, SD NEGERI 060791"
1101-00-0000-0906,"1989, SMP NEGERI 4 MEDAN"
1101-00-0000-0906,"1992, SMA NEGERI 6 MEDAN"
1101-00-0000-0906,"2000, S1 FAKULTAS HUKUM UNIVERSITAS SYIAH KUALA"
1101-00-0000-0906,"2008, S2 FAKULTAS HUKUM UNIVERISITAS SYUAH KUALA"
1101-00-0000-0907,"1973, SD SOKA 1 BANDUNG"
1101-00-0000-0907,"1976, SMP NEGERI 4 BANDUNG"
1101-00-0000-0907,"1980, SMPP SURABAYA"
1101-00-0000-0907,"1990, S1 UNSYIAH FAKULTAS HUKUM"
1101-00-0000-0907,"2012, S2 AGAMA ISLAM IAIN AR-RANIRY"
1101-00-0000-1001,"1973, SDN MEUREUDUDU"
1101-00-0000-1001,"1976, SMPN MEUREUDUDU"
1101-00-0000-1001,"1981, SMAN MEUREUDUDU"
1101-00-0000-1001,"1989, S1 FAKULTAS HUKUM UNSYIAH"
1101-00-0000-1002,SDN 3 PAGI MENTENG
1101-00-0000-1002,SMPN 35 JAKARTA
1101-00-0000-1002,SMAN 5 JAKARTA
1101-00-0000-1003,"1991, SDN 67 BANDA ACEH"
1101-00-0000-1003,"1994, SMPN 6 BANDA ACEH"
1101-00-0000-1003,"1997, SMAN 7 BANDA ACEH"
1101-00-0000-1003,"2010, UNIV SYIAH KUALA"
1101-00-0000-1004,"1981, SDN 03 JAKARTA"
1101-00-0000-1004,"1984, SMPN 85 JAKARTA"
1101-00-0000-1004,"1987, SMAN 6 JAKARTA"
1101-00-0000-1004,"1995, S1 UNIVERSITAS TRISAKTI FAKULTAS HUKUM"
1101-00-0000-1005,"2005-2009, UIN SYARIF HIDAYATULLAH JAKARTA"
1101-00-0000-1005,"2002-2005, SMAN 53 JAKARTA"
1101-00-0000-1005,"1999-2002, SLTP NEGERI 135 JAKARTA"
