lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,domisili,foto_url,agama,tempat_lahir,tanggal_lahir
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,10,DPRDKALBAR616107p0710,"ANDI ASWAD, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,7,PARTAI DEMOKRAT,11,DPRDKALBAR616107p0711,FENI DEARTI,P,KABUPATEN SINTANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,1,DPRDKALBAR616108p0701,"RASMIDI, S.E., M.M.",L,KABUPATEN KETAPANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,2,DPRDKALBAR616108p0702,"MIJINO, S.E., M.M.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,3,DPRDKALBAR616108p0703,"NURLIJAH, A.Md.",P,KABUPATEN KETAPANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,4,DPRDKALBAR616108p0704,"ANDREAS PAULUS, S.E.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,5,DPRDKALBAR616108p0705,DEWI HARTANTI SAPUTRI,P,KABUPATEN KETAPANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,6,DPRDKALBAR616108p0706,YOHANES DJADJAH,L,KABUPATEN KETAPANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,7,DPRDKALBAR616108p0707,"EDI VINSENSIUS PETEBANG, S.Sos.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6108p,KALIMANTAN BARAT 8,7,PARTAI DEMOKRAT,8,DPRDKALBAR616108p0708,RISKY PRAMUDIA,P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616101p0601,M. CHANDRA DJAMALUDDIN,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616101p0602,"H. ISHAK ALI AL MUTHAHAR, S.Sos., M.Si.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616101p0603,"SUPRIYATI, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,4,DPRDKALBAR616101p0604,"Drs. H. SYAIFUL BAKHRI, BE., M.Si.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,5,DPRDKALBAR616101p0605,"GUSTI AYU PARAMITHA MAHARANI, S.E., M.Sc.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,6,DPRDKALBAR616101p0606,"SASMITA, S.E., M.M.",L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,7,DPRDKALBAR616101p0607,"JHONES SIMANGARAJA, S.H.",L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6101p,KALIMANTAN BARAT 1,6,PARTAI GERAKAN INDONESIA RAYA,8,DPRDKALBAR616101p0608,NUR ERAWATI,P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616102p0601,YUS RAHADI,L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616102p0602,"YULIANA, A.Md.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616102p0603,"H. SUNARYO, S.H.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,4,DPRDKALBAR616102p0604,Drs. H. AHMAD FARUKI,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,5,DPRDKALBAR616102p0605,"TOMMY RIA, S.E., M.Si.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,6,DPRDKALBAR616102p0606,Hj. ANA MARIANA,P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,7,DPRDKALBAR616102p0607,Drs. JUPRI,L,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,8,DPRDKALBAR616102p0608,Ir. ZAINUL ARIFIN,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,9,DPRDKALBAR616102p0609,LIS HUBAINY,P,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,10,DPRDKALBAR616102p0610,MARCELLINA SETYORINI P.,P,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6102p,KALIMANTAN BARAT 2,6,PARTAI GERAKAN INDONESIA RAYA,11,DPRDKALBAR616102p0611,"R. RUDDY HERMAN S., S.E.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616103p0601,R.J. HIDAYAT,L,KOTA SINGKAWANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616103p0602,"LUKANUS LUKAS PASALIMA, S.H.",L,KABUPATEN BENGKAYANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616103p0603,"THAUFINAR THAUFIEK, S.H.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,6,PARTAI GERAKAN INDONESIA RAYA,4,DPRDKALBAR616103p0604,HENDRI,L,KOTA SINGKAWANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,6,PARTAI GERAKAN INDONESIA RAYA,5,DPRDKALBAR616103p0605,"NATALIA, A.Md.",P,KOTA SINGKAWANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6103p,KALIMANTAN BARAT 3,6,PARTAI GERAKAN INDONESIA RAYA,6,DPRDKALBAR616103p0606,"Ir. ELIAS AHIE, M.M.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616104p0601,"Ir. H. SURIANSYAH, M.M.A.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616104p0602,"HASAN, S.Pd., M.M.",L,KOTA SINGKAWANG,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616104p0603,JUNARTI,P,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,4,DPRDKALBAR616104p0604,SALMIAH,P,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,5,DPRDKALBAR616104p0605,"HARSADI KASIM, S.IP., M.Si.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,6,DPRDKALBAR616104p0606,URAI ALIMIN,L,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,7,DPRDKALBAR616104p0607,RAJIMIN DJUFRI,L,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6104p,KALIMANTAN BARAT 4,6,PARTAI GERAKAN INDONESIA RAYA,8,DPRDKALBAR616104p0608,TUTI HANDAYANI,P,KABUPATEN SAMBAS,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616105p0601,"KORNELIUS LIPAT, S.Th.",L,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616105p0602,A. NASIR DARAHI,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616105p0603,"YOVITA RINUATY, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,6,PARTAI GERAKAN INDONESIA RAYA,4,DPRDKALBAR616105p0604,Drs. ADRIANUS MOI NAM,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6105p,KALIMANTAN BARAT 5,6,PARTAI GERAKAN INDONESIA RAYA,5,DPRDKALBAR616105p0605,KIKI NANI AKWILA,P,KABUPATEN LANDAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616106p0601,"HENDRI, A.Md., S.E.",L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616106p0602,"H. ACHMAD ROHANSYAH, S.H.",L,KABUPATEN SANGGAU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616106p0603,"HIJRATINNA BURHAN, S.P.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,4,DPRDKALBAR616106p0604,Drs. NABAN AGUSTINUS,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,5,DPRDKALBAR616106p0605,"WAHYU INDAH SULISTIJOWATI, S.E., M.M.",P,KABUPATEN KUBU RAYA,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,6,DPRDKALBAR616106p0606,"SUDAHUSMIMA JOHNI, S.Hut.",L,KABUPATEN SANGGAU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,7,DPRDKALBAR616106p0607,"Hj. HERMI MANIKAM, S.E.",P,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6106p,KALIMANTAN BARAT 6,6,PARTAI GERAKAN INDONESIA RAYA,8,DPRDKALBAR616106p0608,"HENDRO, S.Sos.",L,KABUPATEN SEKADAU,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,6,PARTAI GERAKAN INDONESIA RAYA,1,DPRDKALBAR616107p0601,ANTONIUS SITUMORANG,L,KOTA PONTIANAK,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,6,PARTAI GERAKAN INDONESIA RAYA,2,DPRDKALBAR616107p0602,MARDOLIWATIE,P,KABUPATEN MELAWI,,,,
DPRD KALBAR,2014,61,KALIMANTAN BARAT,6107p,KALIMANTAN BARAT 7,6,PARTAI GERAKAN INDONESIA RAYA,3,DPRDKALBAR616107p0603,ABANG KARIM. AS,L,KOTA PONTIANAK,,,,
