id,id_participant,url
101,758,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/758.png
102,76,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/76.jpg
103,761,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/761.jpg
104,762,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/762.jpg
105,769,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/769.jpg
106,775,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/775.png
107,78,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/78.JPG
108,783,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/783.jpg
109,785,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/785.jpg
110,787,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/787.jpg
111,790,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/790.png
112,791,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/791.jpg
113,804,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/804.JPG
114,805,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/805.jpg
115,816,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/816.jpg
116,839,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/839.png
117,840,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/840.jpg
118,845,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/845.jpg
119,859,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/859.png
120,861,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/861.png
121,87,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/87.jpg
122,872,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/872.jpeg
123,875,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/875.jpg
124,877,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/877.png
125,893,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/893.jpg
126,905,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/905.jpg
127,909,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/909.jpg
128,910,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/910.png
129,911,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/911.jpg
130,912,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/912.jpg
131,914,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/914.jpg
132,919,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/919.jpg
133,921,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/921.jpg
134,961,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/961.png
135,983,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/983.png
136,984,http://apipemilu-caleg-pilkada2015.s3.amazonaws.com/paslon/984.jpg
