id_calon,ringkasan
1100-00-0000-0032,PASCA SARJANA UI TAHUN 199
1100-00-0000-0033,"MIN Kutablag, Gandapura, Aceh Utara. Tamat 1994"
1100-00-0000-0033,"MTs Bustanul Ulum, Langsa, Aceh Timur. Tamat 1997"
1100-00-0000-0033,SMU Negeri 1 Lokseumawe. Tamat 2000
1100-00-0000-0033,Fak. Syartah IAIN Ar Raniry. Banda Aceh. Tamtat 2005
1100-00-0000-0033,"Magister Perdamaian dan Resolusi Konflik (MPRK) Universitas Gadjah Mada, Yogyakarta. Tamat 2008"
1100-00-0000-0034,"Sekolah Dasar Negeri No. Lhokseumawe, Berijazah (1966-1972)"
1100-00-0000-0034,"Sekolah Menengah Pertama Negeri 1 Lhokseumawe, Berijazah (1973-1976)"
1100-00-0000-0034,"Sekolah Menengah Atas Negeri 1 Bireun, Berijazah (1977-1981)"
1100-00-0000-0034,"Fakultas Hukum Universitas Syiah Kuala, Berijazah (1981-1989)"
1100-00-0000-0035,MIN. Suak Seuke 1968
1100-00-0000-0035,MTs.N Lamno 1971
1100-00-0000-0035,Pondok Pesantren Budi Lamno 1973
1100-00-0000-0035,SPIAIN Darussalam 1974
1100-00-0000-0035,UISU Medan 1981
1100-00-0000-0035,Dosen STAI Tanjung Priuk Jakarta 1991 - 1999
1100-00-0000-0035,Direktur PT Bubon Persada Jakarta 1984 - 2004
1100-00-0000-0035,Ketua Pusat Budaya Islam Internasional Yayasan EI Anshar Jakarta 2010 - Sekarang
1100-00-0000-0036,"Darul Mu' arrif Lam Ateuk, Kec. Kota Baro Kab. Aceh besar Selama 16 Tahun"
1100-00-0000-0037,MIN Buket Bata Kab.Aceh Timur. Tamat Tahun 1975
1100-00-0000-0037,MTsN Sp.UIim Kab.Aceh Timur.Tamat Tahun 1978
1100-00-0000-0037,"Dayah Darussaadah, Idi cut. Kab.Aceh Timur. Tamat Tahun 1995."
1100-00-0000-0038,THN 1960-1967 MIN Matang Kuli
1100-00-0000-0038,THN 1968-1969 Dayah Darul Huda SP. Niet
1100-00-0000-0038,THN 1970-1973 Mts Mudi Mesra Samalanga
1100-00-0000-0038,THN 1973-1976 MA Mudi Mesra Samalanga
