id_calon,ringkasan
1100-00-0000-0037,"Pimpinan Dayah Fathurrahman, tahun 2006 - Sekarang."
1100-00-0000-0037,"Anggota MPU Provinsi Aceh, tahun 2007 - 2009."
1100-00-0000-0037,"Anggota DPD/MPR RI, tahun 2009 - 2014."
1100-00-0000-0038,Dagang
1100-00-0000-0038,Anggota DPRD TK II Aceh Utara 1987-1992
1100-00-0000-0038,Anggota DPRA NAD 1997-1999
1100-00-0000-0038,Anggota DPRA NAD 2003-2004
1100-00-0000-0038,Anggota DPR Aceh 2004-2009
1100-00-0000-0039,"Kepala SMP Ruhul Islam Acch Utara, 1990 s.d 1993"
1100-00-0000-0039,"Kepala SMA Ruhul Islam Aceh Utara, 1994 s.d 1996"
1100-00-0000-0039,Direktur Pesantren Terpadu Ruhul Islam Aceh Utara. 1990 s.d 2012
1100-00-0000-0039,"Kepala SMA Global Perintis Aceh Utara, 2007 s.d sekarang"
1100-00-0000-0039,"Anggota DPR Kabupaten Aceh Utara, 2009 s.d sekarang"
1100-00-0000-0040,Karyawan PT. Gatari Air Service Jakarta Tahun 1975 s/d 1977
1100-00-0000-0040,Wakil Direktur CV. Ujung Batee Jakarta Tahun 1978 s/d 1982
1100-00-0000-0040,Manager PT. Andalusia Agung Lhokseumawe Tahun 1982 s/d 1991
1100-00-0000-0040,Direktur Utama PT. Cakradonya Lhokseumawe Tahun 1983 s/d 2000
1100-00-0000-0040,Pembina Yayasan Dayah/Pesantren Darul IHSAN Tgk H. Hasan Krueng Kalee Tahun 1999 s/d sekarang
1100-00-0000-0040,Anggota DPRA Provinsi NAD Tahun 1999 s/d 2004
1100-00-0000-0040,Pimpinan (Wakil Ketua) DPR Aceh Tahun 2004 s/d 2009
1200-00-0000-0001,Direktur CV. Putri Persada Malindo Tahun 1999 s/d 2004
1200-00-0000-0001,Dosen di Fakultas Ekonomi USU Medan Tahun 2004 s/d 2006
1200-00-0000-0001,Sekretaris POKJA Agropolitan dan Agromarine Politan Sumatera Utara (Staf Ahli Gubernur) Tahun 2004 s/d 2008
1200-00-0000-0001,Direktur Eksekutif Pusat Kajian Publik Nusantara Tahun 2006 s/d 2012
1200-00-0000-0001,Koordinator Litbang Sumatera Research Development Centre Tahun 2009 s/d 2013
1200-00-0000-0001,Direktur PT. Agatha Putri Persada Tahun 2010-sekarang
1200-00-0000-0001,Economic Advicer di PT. Prasto Propertindo Jakarta Tahun 2010 - sekarang
1200-00-0000-0001,Komisaris Utama PT.Kalpatma Sukses Mandiri Tahun 2011 - sekarang
1200-00-0000-0001,Direktur Eksekutif Pusat Kajian Ekonomi Politik dan Sosial Sumatera Utara Tahun 2013-sekarang
1200-00-0000-0002,2007-2012 Ketua Komisi Pengawas Persaingan Usaha ( KPPU ) - RI
1200-00-0000-0002,1999-2004 Ketua Panitia Anggaran DPR-RI
1200-00-0000-0002,"1999-2004 Ketua Komisi IX DPR-RI Membidangi Keuangan, Perbankan, BUMN dan Perencanaan"
1200-00-0000-0002,"1999-2000 Deputi Menteri/Kepala Badan Penanaman Modal dan Pembinaan BUMN Bidang Usaha Sektor Pertambangan, Industri Strategis, Energi dan Telekomunikasi."
1200-00-0000-0002,"1998-1999 Kepala Biro Perencanaan Departemen Koperasi dan Pembinaan Pengusaha Kecil, Republik Indonesia"
1200-00-0000-0002,1983-1998 Staf Khusus Menteri Koperasi dan Pembinaan Pengusaha Kecil
1200-00-0000-0002,1981-1983 Direktur Utama Pusat KUD (PUSKUD) Sumatera Utara
1200-00-0000-0003,1983 PTP. Nusantara 2 Tanjung Morawa
1200-00-0000-0004,1976-2008: Dosen Univ.Sumatera Utara (USU)
1200-00-0000-0004,1982 - 1985:Asisten I bdg.akademis PoliteknikUSU
1200-00-0000-0004,1985 - 1990: Tugas belajar Doktoral ke Inggris
1200-00-0000-0004,1992 - 1997: Asisten Pembantu Rektor IV USU
1200-00-0000-0004,1997 - 1994: Sekretaris Pusat Studi Wanita USU
1200-00-0000-0004,1994 - 1997: Ketua Pusat Studi Wanita USU
1200-00-0000-0004,"1993 - 2006: Ka.Lab.Kontrol, Jur. Mesin FT-USU"
1200-00-0000-0004,2002: Promosi Professor di Fakultas Teknik USU
1200-00-0000-0004,2007-2008: Angg. Dewan Pengawas PDAM Tirtanadi
1200-00-0000-0004,2009-2014: Angg.Dewan Perwakilan Daerah (DPD) RI
1200-00-0000-0004,2009-2010: Ketua Tim Penyusunan RENSTRA DPD
1200-00-0000-0004,2009 - 2010:Wkil. Ketua Komite 3 DPD-RI
1200-00-0000-0004,2010 - 2011:Wkil Ketua Panitia Urusan Rumah Tangga (PURT) DPD-RI
1200-00-0000-0004,2011 - 2014: Ketua Panja Pendidikan Kom.3 DPD-RI
1200-00-0000-0004,2012 - 2013: Ketua Panja Bidang Anggaran PURT DPD
1200-00-0000-0004,2013-2014: Anggota Pansus Guru DPD RI
1200-00-0000-0006,1997-1998 MAS Ex PGA Proyek UNIVA Medan Staf Tata Usaha
1200-00-0000-0006,1998-2004 - Wiraswasta
