id_calon,ringkasan
1200-00-0000-0004,"2001 - 2011: Ketua ""KAUKUS PEREMPUAN SUMATERA UTRA"""
1200-00-0000-0004,2009 - 2014: Angg. Kaukus Parlemen Perempuan Indonesia
1200-00-0000-0004,2010 - 2015: Dewan Penasehat MUI Sumut
1200-00-0000-0004,2012 - 2017: Dewan Penasehat Angkatan Putri Al Washliyah Sumut
1200-00-0000-0004,2011- 2014: Ketua Dewan Pendiri Kaukus Perempuan Sumut
1200-00-0000-0004,2013 - 2018: Ka.Pembina PARWAMTA Sumut
1200-00-0000-0005,Ketua Harian AMPG Sumut 1999-2004
1200-00-0000-0005,Pengurus FKPPI Sumut 1999-2004
1200-00-0000-0005,Ketua SPSI Pariwisata dan Perhotelan Provinsi Sumatera Utara 2004-2009
1200-00-0000-0005,Ketua Laskar Merah Putih Sumut 2012-2017
1200-00-0000-0005,Ketua Sindoka Karatedo Sumut 2012-2017
1200-00-0000-0006,1996-1998 Pimpinan Rayon IkatanPelajar Al Washliyah (Pry IPA) MAS Ex PGA Proyek UNIVA Medan Ketua
1200-00-0000-0006,1996-1998 PimpinanCabangIkatanPelajar Al Washliyah (PC IPA) Kecamatan Medan Denai Ketua
1200-00-0000-0006,1996-1998 PimpinanCabangGerakanPemuda Al Washliyah (PC GPA) Kecamatan Medan Denai Sekretaris
1200-00-0000-0006,1998-2006 Pimpinan Wilayah IkatanPuteraPuteri Al Washliyah (PW IPA) Propinsi Sumatera Utara Ketua
1200-00-0000-0006,1999-2000 PimpinanKomisariatHimpunanMahasiswa Al Washliyah (PK HIMMAH) UISU WakilKetua
1200-00-0000-0006,2000-2001 PemerintahanMahasiswa FISIP UISU Kerohanian
1200-00-0000-0006,2000-2001 PersatuanNasionalMahasiswaAdministrasi se Indonesia (PENASMA) KoordinatorNasional
1200-00-0000-0006,2000-2001 IkatanRemajaMesjidJannatul 'Alim Al Muttaqin (IRJAM) Ketua
1200-00-0000-0006,2001-2004 SatuanMahasiswaPemudaPancasila (SATMA PP) Propinsi Sumatera Utara Sekretaris
1200-00-0000-0006,2003-2009 Pimpinan Wilayah GerakanPemudaKa'bah (PW GPK) Propinsi Sumatera Utara WakilSekretaris
1200-00-0000-0006,2006-2009 DewanPimpinanCabangPartaiPersatuan Pembangunan (DPC PPP) Kota Medan WakilSekretaris
1200-00-0000-0006,2007-2009 PimpinanCabangAngkatanMudaKa'bah (PC AMK) Kota Medan Ketua
1200-00-0000-0006,2009-2011 WadahRemaja Islam Pengajian Akbar (WARISPA) Medan Penasehat
1200-00-0000-0006,2008-2011 DewanPengurus Daerah KomiteNasionalPemuda Indonesia (DPD KNPI) Propinsi Sumatera Utara WakilSekretaris
1200-00-0000-0006,2010-2015 Ikatan Alumni Kader IkatanPelajar Al Washliyah (IKA IPA) Propinsi Sumatera Utara Sekretaris
1200-00-0000-0006,2010-2015 PimpinanPusatIkatanPelajar Al Washliyah (PP IPA) Penasehat
1200-00-0000-0006,2011-2015 Pimpinan Wilayah Al Washliyah Sumatera Utara WakilSekretaris
1200-00-0000-0006,2011-2016 Stofaz Institute Ketua
1200-00-0000-0006,2011-2014 DewanPengurus Daerah KomiteNasionalPemuda Indonesia Sumatera Utara (DPD KNPI SUMUT) Sekretaris
1200-00-0000-0006,2012-2016 Pimpinan Wilayah GerakanPemuda Al Washliyah (GPA) Sumatera Utara WakilKetua
1200-00-0000-0006,2012-2017 DewanPendidikanPropinsi Sumatera Utara Anggota
1200-00-0000-0006,2012-2017 Pengurus Wilayah PersaudaraanMuslimin Indonesia (PW PARMUSI) Sumatera Utara WakilKetua
1200-00-0000-0008,Bendahara Korda DPA GBI Sumatera Utara Tahun 1996 - Tahun 2000
1200-00-0000-0008,Wakil Ketua Asperindo 2004 - 2008
1200-00-0000-0008,Bendahara Korda DPA GBI Sumatera Utara Tahun 2000 - Tahun 2004
1200-00-0000-0008,Ketua PD DPA GBI Sumatera Utara Tahun 2009 - 2013
1200-00-0000-0008,Ketua Dewan Pengurus Daerah Perhimpunan Pemuda Gereja Provinsi Sumatera Utara Tahun 2012 - 2015
1200-00-0000-0009,2008 s/d 2012 - BEMUDA PANGASICK
1200-00-0000-0009,2012 s/d SEKARANG - PPN
1200-00-0000-0010,KETUA REMAJA MESJID DARI TAHUN 1989 S/D TAHUN 1996.
1200-00-0000-0010,KETUA SENAT MAHASISWA FAKULTAS EKONOMI UNIVERSITAS PANCA BUDI MEDAN DARI TAHUN 1993 S/D 1995.
1200-00-0000-0010,KETUA MAHASISWA PUJAKESUMA KOTA MEDAN DARI TAHUN 1994 S/D 1998.
1200-00-0000-0010,KETUA KARANG TARUNA KECAMATAN DARI TAHUN 1991 S/D 1999.
