id,text,url_small,width_small,height_small,url_medium,width_medium,height_medium,url_large,width_large,height_large
028,5 Menit Untuk 5 Tahun,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-28-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-28-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-28-lg.png,800,800
029,9th July Mark the Day!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-29-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-29-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-29-lg.png,800,800
030,"Don't Vote for the Name, Vote for the Vision",http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-30-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-30-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-30-lg.png,800,800
031,Rakyat Kuat JKW-JK 2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-31-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-31-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-31-lg.png,800,800
032,Jokowi-JK Adalah Kita,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-32-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-32-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-32-lg.png,800,800
033,Go Vote JKW4P!,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-33-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-33-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-33-lg.png,800,800
034,Kita Percayakan Indonesia JKW-JK,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-34-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-34-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-34-lg.png,800,800
035,Indonesia Hebat! Prabowo-Hatta 2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-35-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-35-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-35-lg.png,800,800
036,"Indonesia Hebat, Prabowo for President",http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-36-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-36-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-36-lg.png,800,800
037,Jokowi-JK 2014,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-37-sm.png,100,100,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-37-md.png,400,400,http://apipemilu-caleg.s3-website-ap-southeast-1.amazonaws.com/stamps/election_stamp-37-lg.png,800,800
