id,nama_calon,nama_wakil_calon,qwords
219,"H. SAAN MUSTOPA, S.IP.,M.Si.",Ir. H. IMAN SOEMANTRI,"info pasangan calon H. SAAN MUSTOPA, S.IP.,M.Si. Ir. H. IMAN SOEMANTRI"
42,"NACE PERMANA, SE., M.Ikom","HJ. YENIH, SE.","info pasangan calon NACE PERMANA, SE., M.Ikom HJ. YENIH, SE."
356,H. AKHMAD MARJUKI,TB. DEDY SUWANDI GUMELAR,info pasangan calon H. AKHMAD MARJUKI TB. DEDY SUWANDI GUMELAR
44,"H. DADAY HUDAYA, SH., MH","DRS. H. EDY YUSUF HS, MM","info pasangan calon H. DADAY HUDAYA, SH., MH DRS. H. EDY YUSUF HS, MM"
501,dr. CELLICA NURRACHADIANA,"H. AHMAD ZAMAKHSARI,S.Ag","info pasangan calon dr. CELLICA NURRACHADIANA H. AHMAD ZAMAKHSARI,S.Ag"
475,"Agusriono, SE",Ahmad Darwis,"info pasangan calon Agusriono, SE Ahmad Darwis"
48,Drs. H. R. Usman Aziz,"Zulkhainen, SH., MH","info pasangan calon Drs. H. R. Usman Aziz Zulkhainen, SH., MH"
473,Aunur Rafiq,Anwar Hasyim,info pasangan calon Aunur Rafiq Anwar Hasyim
1252,"Terkelin Brahmana, SH",Cory Sri Waty Sebayang,"info pasangan calon Terkelin Brahmana, SH Cory Sri Waty Sebayang"
513,Ir. Ramon Bangun,Eddy Ulina Ginting,info pasangan calon Ir. Ramon Bangun Eddy Ulina Ginting
514,Sudarto Sitepu,Herman Antonius Purba,info pasangan calon Sudarto Sitepu Herman Antonius Purba
967,"Cuaca Bangun, SE. Ak, M.Si, SH, MH, CLA","David Ginting Manik, SE.","info pasangan calon Cuaca Bangun, SE. Ak, M.Si, SH, MH, CLA David Ginting Manik, SE."
970,"Heben Heser Ginting, A.Md. SE",Ngadep Tarigen,"info pasangan calon Heben Heser Ginting, A.Md. SE Ngadep Tarigen"
972,"Pt. Layari Sinukaban, SIP","Dk. Ramlan Tarigan, S.Sos","info pasangan calon Pt. Layari Sinukaban, SIP Dk. Ramlan Tarigan, S.Sos"
973,Bangkit Sitepu,Drs. Simon Sembiring,info pasangan calon Bangkit Sitepu Drs. Simon Sembiring
299,"Gusril Pausi, S. Sos",Hj. Yulis Suti Sutri,"info pasangan calon Gusril Pausi, S. Sos Hj. Yulis Suti Sutri"
84,"Yusmeri Herlan, SE",Suparlis Hayati,"info pasangan calon Yusmeri Herlan, SE Suparlis Hayati"
1167,"Kolonel Inf. YAKRAMAN YAGUS, SH","AMIR HAMZAH, S. Sos","info pasangan calon Kolonel Inf. YAKRAMAN YAGUS, SH AMIR HAMZAH, S. Sos"
467,"Drs. H. Andi Djamiruddin, M.Si",Chanisius Kuan,"info pasangan calon Drs. H. Andi Djamiruddin, M.Si Chanisius Kuan"
273,ONE KRISNATA,"Drs. H. SUNARTO, M.Hum","info pasangan calon ONE KRISNATA Drs. H. SUNARTO, M.Hum"
