id,name,provinsi_id
443,Seram Bagian Barat,81
444,Kepulauan Aru,81
445,Maluku Barat Daya,81
446,Buru Selatan,81
447,Kota Ambon,81
448,Kota Tual,81
449,Halmahera Barat,82
450,Halmahera Tengah,82
451,Halmahera Utara,82
452,Halmahera Selatan,82
453,Kepulauan Sula,82
454,Halmahera Timur,82
455,Pulau Morotai,82
456,Kota Ternate,82
457,Kota Tidore Kepulauan,82
458,Merauke,91
459,Jayawijaya,91
460,Jayapura,91
461,Nabire,91
462,Kepulauan Yapen,91
463,Biak Numfor,91
464,Puncak Jaya,91
465,Paniai,91
466,Mimika,91
467,Sarmi,91
468,Keerom,91
469,Pegunungan Bintang,91
470,Yahukimo,91
471,Tolikara,91
472,Waropen,91
473,Boven Digoel,91
474,Mappi,91
475,Asmat,91
476,Supiori,91
477,Mamberamo Raya,91
478,Mamberamo Tengah,91
479,Yalimo,91
480,Lanny Jaya,91
481,Nduga,91
482,Puncak,91
483,Dogiyai,91
484,Intan Jaya,91
485,Deiyai,91
486,Kota Jayapura,91
487,Sorong,92
488,Manokwari,92
489,Fakfak,92
490,Sorong Selatan,92
491,Raja Ampat,92
492,Teluk Bintuni,92
493,Teluk Wondama,92
494,Kaimana,92
495,Tambrauw,92
496,Maybrat,92
497,Kota Sorong,92
