id,pemilu_id,category_id,province_id,wilayah_id,value
216,1,31,11,6,132
217,1,33,11,6,0
218,1,34,11,6,0
219,1,35,11,6,0
220,1,37,11,6,1064
221,1,38,11,6,1140
222,1,39,11,6,2204
223,1,41,11,6,81365
224,1,42,11,6,90034
225,1,43,11,6,171399
226,1,45,11,6,251219
227,1,46,11,6,71
228,1,47,11,6,79749
229,1,48,11,6,171399
230,1,50,11,6,163632
231,1,51,11,6,7767
232,1,52,11,6,171399
233,1,54,11,6,91130
234,1,55,11,6,72502
235,1,4,11,7,139262
236,1,5,11,7,149389
237,1,6,11,7,288651
238,1,8,11,7,151
239,1,9,11,7,29
240,1,10,11,7,180
241,1,12,11,7,17
242,1,13,11,7,14
243,1,14,11,7,31
244,1,16,11,7,144
245,1,17,11,7,121
246,1,18,11,7,265
247,1,20,11,7,139574
248,1,21,11,7,149553
249,1,22,11,7,289127
250,1,25,11,7,75915
251,1,26,11,7,98249
252,1,27,11,7,174164
253,1,29,11,7,126
254,1,30,11,7,29
255,1,31,11,7,155
256,1,33,11,7,5
257,1,34,11,7,7
258,1,35,11,7,12
259,1,37,11,7,144
260,1,38,11,7,121
261,1,39,11,7,265
262,1,41,11,7,76190
263,1,42,11,7,98406
264,1,43,11,7,174596
265,1,45,11,7,294287
266,1,46,11,7,208
267,1,47,11,7,119483
268,1,48,11,7,174596
269,1,50,11,7,165549
270,1,51,11,7,9047
271,1,52,11,7,174596
272,1,54,11,7,72241
273,1,55,11,7,93308
274,1,4,11,8,192044
275,1,5,11,8,201122
276,1,6,11,8,393166
277,1,8,11,8,73
278,1,9,11,8,38
279,1,10,11,8,111
280,1,12,11,8,10
281,1,13,11,8,9
282,1,14,11,8,19
283,1,16,11,8,309
284,1,17,11,8,238
285,1,18,11,8,547
286,1,20,11,8,192436
287,1,21,11,8,201407
288,1,22,11,8,393843
289,1,25,11,8,99116
290,1,26,11,8,117749
291,1,27,11,8,216865
292,1,29,11,8,73
293,1,30,11,8,38
294,1,31,11,8,111
295,1,33,11,8,5
296,1,34,11,8,6
297,1,35,11,8,11
298,1,37,11,8,309
299,1,38,11,8,237
300,1,39,11,8,546
