id,link,title,time,date
117,http://www.dpr.go.id/agenda/detail/id/7422,Rapat Kerja Komisi I DPR RI dengan Pemerintah (Menteri Pertahanan RI dan Menteri Hukum dan Hak Asasi Manusia RI),10:00,2015-02-05
118,http://www.dpr.go.id/agenda/detail/id/7426,Raker Komisi XI dgn Menkeu RI,10:00,2015-02-05
119,http://www.dpr.go.id/agenda/detail/id/7429,Komisi IX RDP dgn Eselon I Kemenaker,10:00,2015-02-05
120,http://www.dpr.go.id/agenda/detail/id/7443,"Badan Anggaran DPR RI - Rapat Panja Asumsi Dasar, Pendapatan, Defisit dan Pembiayaan dengan Pemerintah",10:00,2015-02-05
121,http://www.dpr.go.id/agenda/detail/id/7430,Komisi IX RDP dgn Eselon I Kemenaker,14:00,2015-02-05
122,http://www.dpr.go.id/agenda/detail/id/7439,Raker Komisi XI dgn Menkeu RI,14:00,2015-02-05
123,http://www.dpr.go.id/agenda/detail/id/7440,Raker Komisi II DPR RI dengan Menteri Agraria dan Tata Ruang,14:00,2015-02-05
124,http://www.dpr.go.id/agenda/detail/id/7441,RDP Komisi III dengan LPSK,14:00,2015-02-05
125,http://www.dpr.go.id/agenda/detail/id/7423,Rapat Dengar Pendapat Komisi I DPR RI dengan Wakil Kepala BIN,16:00,2015-02-05
126,http://www.dpr.go.id/agenda/detail/id/7444,"Badan Anggaran DPR RI - Rapat Kerja dengan Menteri Keuangan RI, Menteri PPN/Kepala Bappenas, Menteri Hukum dan HAM dan Gubernur Bank Indonesia",09:00,2015-02-06
127,http://www.dpr.go.id/agenda/detail/id/7445,"Badan Anggaran DPR RI - Rapat Panja Belanja Pemerintah Pusat dengan Pemerintah (ditunda menjadi hari Senin, 9 Februari 2015 Pukul 09.00 Wib.)",14:00,2015-02-06
128,http://www.dpr.go.id/agenda/detail/id/7384,"Raker Komisi V DPR RI dgn MENTERI DESA, PDT, DAN TRANSMIGRASI",09:00,2015-02-09
129,http://www.dpr.go.id/agenda/detail/id/7416,Komisi III : Pembahasan APBN-P 2015 Mitra Kerja,09:00,2015-02-09
130,http://www.dpr.go.id/agenda/detail/id/7461,Badan Anggaran DPR RI - Rapat Panja Belanja Pemerintah Pusat dengan Pemerintah (ditunda menjadi Pk. 12.00 Wib.),09:00,2015-02-09
131,http://www.dpr.go.id/agenda/detail/id/7464,Rapat Dengar Pendapat Komisi VI DPR RI dengan PT. Krakatau Steel (Persero),09:00,2015-02-09
132,http://www.dpr.go.id/agenda/detail/id/7449,Rapat Dengar Pendapat Komisi VIII DPR RI dengan Direktur Jenderal Pendidikan Islam Kementerian Agama RI.,10:00,2015-02-09
133,http://www.dpr.go.id/agenda/detail/id/7463,Komisi IV DPR RI Rapat Kerja dengan Menteri Pertanian RI.,10:00,2015-02-09
134,http://www.dpr.go.id/agenda/detail/id/7466,Rapat Dengar Pendapat Komisi I DPR RI dgn Ketua Dewan Teknologi Informasi&Komunikasi Nasional (DetikNas),10:00,2015-02-09
135,http://www.dpr.go.id/agenda/detail/id/7462,"Badan Anggaran DPR RI - Rapat Panja Transfer ke Daerah dan Dana Desa dengan Pemerintah (DITUNDA menjadi Selasa, 10 Februari 2015, Pukul 09.00 Wib.)",16:30,2015-02-09
136,http://www.dpr.go.id/agenda/detail/id/7465,Rapat Kerja Komisi VI DPR RI dengan Menteri Perindustrian,19:30,2015-02-09
137,http://www.dpr.go.id/agenda/detail/id/7448,Badan Anggaran DPR RI - Rapat Panja Transfer ke Daerah dan Dana Desa dengan Pemerintah,09:00,2015-02-10
