id,jenis_wilayah,nama_wilayah,jumlah_ppk,jumlah_pps,jumlah_tps,jumlah_kpps
374,KABUPATEN,KAB. SINTANG,14,287,1074,1074
375,KABUPATEN,KAB. MELAWI,55,507,518,3626
376,KABUPATEN,KAB. KEPULAUAN SELAYAR,55,264,297,2079
377,KABUPATEN,KAB. BENGKAYANG,85,372,622,4354
378,KABUPATEN,KAB. KAIMANA,7,86,151,151
379,KABUPATEN,KAB. SEKADAU,7,87,469,3283
380,KABUPATEN,KAB. KARANGASEM,40,234,923,6461
381,KABUPATEN,KAB. PAHUWATO,65,312,228,1596
382,KABUPATEN,KAB. MANGGARAI BARAT,50,1479,493,3451
383,KABUPATEN,KAB. TELUK WONDAMA,13,76,99,693
384,KABUPATEN,KAB. NATUNA,12,76,158,1106
385,KABUPATEN,KAB. REMBANG,70,882,1100,7700
386,KABUPATEN,KAB. REMBANG,70,882,1100,7700
387,KABUPATEN,KAB. NATUNA,12,76,158,1106
388,KABUPATEN,KAB. PEGUNUNGAN BINTANG,34,277,342,2394
389,KABUPATEN,KAB. PEGUNUNGAN BINTANG,34,277,342,2394
390,KABUPATEN,KAB. KEPULAUAN SULA,12,78,186,1302
391,KABUPATEN,KAB. BANGKA SELATAN,40,159,427,2989
392,KABUPATEN,KAB. MAMUJU,55,297,551,4959
