periode,id_partai,nama_partai,role,nama,id_calon,mata_uang,uang,nilai_barang,unit_barang,nilai_jasa,bentuk_jasa,jumlah,keterangan
2,5,Partai Golongan Karya,calon anggota legislatif,"JUANDA, SH",1601-00-0000-0508,Rp,,,,150000000,,150000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"BOBBY ADHITYO RIZALDI,SE.Ak,MBA,CFE",1602-00-0000-0501,Rp,,,,140000000,,140000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Drs.H. DJAZULI KURIS,MM",1602-00-0000-0502,Rp,,,,100000000,,100000000,
2,5,Partai Golongan Karya,calon anggota legislatif,ARUM KISWAHATI,1602-00-0000-0503,Rp,,,,30500000,,30500000,
2,5,Partai Golongan Karya,calon anggota legislatif,"H.ISKANDAR SYAMWELL,SE",1602-00-0000-0504,Rp,,,,140000000,,140000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Ir. H. AHMAD AMAN ASTRA, SE, MSE",1602-00-0000-0505,Rp,,,,100000000,,100000000,
2,5,Partai Golongan Karya,calon anggota legislatif,SHARI DEWI ANGGRAENI.SIP,1602-00-0000-0506,Rp,,,,225000000,,225000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"BENNY MARTHA BENYAMIN TATUNG, SE",1602-00-0000-0507,Rp,,,,140000000,,140000000,
2,5,Partai Golongan Karya,calon anggota legislatif,HJ.NAFSIAH UMAR SALIM,1602-00-0000-0508,Rp,,,,75000000,,75000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"H. ROLIANSYAH BASNAN,SE",1602-00-0000-0509,Rp,,,,25500000,,25500000,
2,5,Partai Golongan Karya,calon anggota legislatif,Ir. LEO NABABAN,1201-00-0000-0501,Rp,,,,430000000,,430000000,
2,5,Partai Golongan Karya,calon anggota legislatif,MEUTYA HAFID,1201-00-0000-0502,Rp,,,,230000000,,230000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"HARIARA TAMBUNAN ,SE,SH",1201-00-0000-0503,Rp,,,,380000000,,380000000,
2,5,Partai Golongan Karya,calon anggota legislatif,PURNAMA D .NAPITUPULU SITOMPUL,1201-00-0000-0504,Rp,,,,250000000,,250000000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Ir.H.AHMAD HUSIN SIREGAR, MM",1201-00-0000-0505,Rp,,,,248900000,,248900000,
2,5,Partai Golongan Karya,calon anggota legislatif,"Dr.Ir. JONGKERS TAMPUBOLON,MSc",1201-00-0000-0506,Rp,,,,210000000,,210000000,
