lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPR,2009,81,Maluku,8101-00-0000,Maluku,5,PARTAI GOLONGAN KARYA,1,DPR113,"Edison Betaubun, SH., MH",L,Kristen,Ohoiel,1957-10-05,Kawin,Yulia Tanzil Betaubun,8,,,,,,,,
DPR,2009,31,DKI Jakarta,3102-00-0000,DKI II,9,PARTAI PERSATUAN PEMBANGUNAN,1,DPR114,"Dra. Hj .Okky Asokawati, M.PSi",P,Islam,Jakarta,1961-03-06,Pernah Menikah,,2,,,,,,,,
DPR,2009,31,DKI Jakarta,3101-00-0000,DKI I,3,PARTAI KEADILAN SEJAHTERA,1,DPR115,"Ahmad Zainuddin, LC",L,Islam,Ponorogo,1966-03-25,Kawin,Wahidah R. Bulan,1,,,,,,,,
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,7,PARTAI DEMOKRAT,9,DPR116,"Drs. Eddy Sadeli, SH",L,Budha,Jakarta,1940-01-01,Pernah Kawin,Fientje Pranoto (Alm),2,,,,,,,,
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,7,PARTAI DEMOKRAT,4,DPR117,"Hj. Vera Febyanthy, S.Sos",P,Islam,Jakarta,1971-02-02,Kawin,"H.Ilal Ferhard, SH",1,,,,,,,,
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,5,PARTAI GOLONGAN KARYA,1,DPR118,"Drs. H. Muhammad Ade Surapriatna, SH., B.Sc",L,Islam,Jakarta,1951-11-07,Kawin,Sukmawati,3,,,,,,,,
DPR,2009,31,DKI Jakarta,3101-00-0000,DKI I,8,PARTAI AMANAT NASIONAL,1,DPR119,H. Andi Anzhar Cakra Wijaya,L,Islam,Makassar,1971-01-29,Kawin,Rini Susilowati,3,,,,,,,,
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,3,PARTAI KEADILAN SEJAHTERA,1,DPR120,Drs. H. Adang Darojatun,L,Islam,Bogor,1949-05-13,Kawin,Nunun Nurbaeti,4,,,,,,,,
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,3,PARTAI KEADILAN SEJAHTERA,2,DPR121,"ACHMAD RILYADI, SE",L,Islam,Padang,1956-04-19,Kawin,Yurnalis,6,,,,,,,,"ACHMAD RILYADI, SE digantikan oleh Dra. WIRIANINGSIH, M.Si melalui Pergantian Antar Waktu pada Mei 2013"
DPR,2009,31,DKI Jakarta,3103-00-0000,DKI III,6,PARTAI GERAKAN INDONESIA RAYA,1,DPR122,Drs.H.Harun Al Rasyid,L,Islam,Bima,1942-12-27,Kawin,Hj. Nuraini,5,,,,,,,,Drs.H.Harun Al Rasyid digantikan oleh DRA. Dahlia melalui Pergantian Antar Waktu pada Maret 2013
