lembaga,tahun,id_provinsi,nama_provinsi,id_dapil,nama_dapil,id_partai,nama_partai,urutan,id,nama,jenis_kelamin,agama,tempat_lahir,tanggal_lahir,status_perkawinan,nama_pasangan,jumlah_anak,kelurahan_tinggal,kecamatan_tinggal,kab_kota_tinggal,provinsi_tinggal,foto_url,tanggal_mulai,tanggal_berakhir,keterangan
DPD,2009,72,SULAWESI TENGAH,7200-00-0000,SULAWESI TENGAH,,,24,DPD092,"Hj. Nurmawati Dewi Bantilan, SE",P,Islam,Yogyakarta,1971-09-16,Pernah Kawin,,1,,,,,,,,
DPD,2009,72,SULAWESI TENGAH,7200-00-0000,SULAWESI TENGAH,,,36,DPD093,"H. Sudarto, SH.",L,Islam,Nganjuk,1948-04-24,Kawin,Nurmasyita,3,,,,,,,,"H. Sudarto, SH. digantikan oleh Pdt. DR. Silviana Hendriete Pandegirot MTh melalui Pergantian Antar Waktu pada Juni 2011"
DPD,2009,72,SULAWESI TENGAH,7200-00-0000,SULAWESI TENGAH,,,1,DPD094,"Ahmad Syaifullah Malonda, SP",L,Islam,Palu,1971-06-20,Kawin,Endang Sri Wahyuni,1,,,,,,,,
DPD,2009,72,SULAWESI TENGAH,7200-00-0000,SULAWESI TENGAH,,,32,DPD095,"Shaleh Muhammad Aldjufri, LC. MA",L,Islam,Palu,1967-02-07,Kawin,"Prof. Dr. Ir. Chalilullah Rangkuti, M.Sc.",,,,,,,,,
DPD,2009,73,SULAWESI SELATAN,7300-00-0000,SULAWESI SELATAN,,,1,DPD096,"IR. H. Abd. Aziz Qahhar Mudzakkar, M.Si",L,Islam,Luwu,1964-12-15,Kawin,Shabriyati,3,,,,,,,,
DPD,2009,73,SULAWESI SELATAN,7300-00-0000,SULAWESI SELATAN,,,23,DPD097,H. Muh. Aksa Mahmud,L,Islam,Barru,1945-07-16,Kawin,Ramlah Aksa,5,,,,,,,,
DPD,2009,73,SULAWESI SELATAN,7300-00-0000,SULAWESI SELATAN,,,14,DPD098,Drs. H. Bahar Ngitung,L,Islam,Ujung Pandang,1957-05-13,Kawin,Dra. Hj. Emmy Husain,1,,,,,,,,
DPD,2009,73,SULAWESI SELATAN,7300-00-0000,SULAWESI SELATAN,,,20,DPD099,"LItha Brent, SE",L,Kristen,Makale,1953-03-21,Kawin,Niniek Suryati Salurapa,4,,,,,,,,
DPD,2009,74,SULAWESI TENGGARA,7400-00-0000,SULAWESI TENGGARA,,,29,DPD100,Dr. La Ode Ida,L,Islam,Tobea,1961-03-12,Kawin,Yuniar Budiyanti,4,,,,,,,,
DPD,2009,74,SULAWESI TENGGARA,7400-00-0000,SULAWESI TENGGARA,,,1,DPD101,Ir. H. Abd. Jabbar Toba,L,Islam,Bulukumba,1944-08-07,Kawin,Ir. Hj. Siti Munawwarah,3,,,,,,,,
DPD,2009,74,SULAWESI TENGGARA,7400-00-0000,SULAWESI TENGGARA,,,4,DPD102,"Drs. H. Abidin Mustafa, M.Si.",L,Islam,Kendari,1953-05-11,Kawin,Hj. Wina,4,,,,,,,,"Drs. H. Abidin Mustafa, M.Si. meninggal dunia dan digantikan oleh Brigjend. Hoesein Effendy S.H pada Oktober 2010"
DPD,2009,74,SULAWESI TENGGARA,7400-00-0000,SULAWESI TENGGARA,,,23,DPD103,"Drs, H. Kamaruddin",L,Islam,Bone,1948-09-12,,,,,,,,,,,
DPD,2009,76,SULAWESI BARAT,7600-00-0000,SULAWESI BARAT,,,16,DPD104,Muh. Asri,L,Islam,Pare-pare,1974-07-12,Kawin,Andi Ice Fadriani,3,,,,,,,,
