id,wilayah_id,tanggal,diajukan,disetujui,digunakan,no_surat_nphd,dokumen_nphd,parpol_pendukung,
69,45174,0000-00-00,46600000000,46610700000,0,TANPA NOMOR,,NULL,
70,46960,0000-00-00,25000000000,25000000000,0,270/2525/431.006.1/2015 dan 01/PERJAN/KPU-SIT/V/2015,84_angg_NPHD Kab. Situbondo.pdf,NULL,
71,51209,0000-00-00,36072800000,36072800000,0,180/1518/437.12/2015 dan 01/Kpts/KPU-Gresik.014329707/2015,,NULL,
72,52914,0000-00-00,85227700000,70383600000,0,415.4/247/436.7.3/2015 dan 47.1/KPU-Kota-014.329945/V/2015,,NULL,
73,44440,0000-00-00,16511000000,11293600000,0,979/256/406.043/2015 dan 12/KPU-Kab/Pilbup/V/2015,87_angg_NPHD KAB TRENGGALEK PILKADA 2015.pdf,NULL,
74,52823,0000-00-00,15133100000,11898800000,0,130.1/7/423.013/2015 dan 805/KPU.KOTA.014.329430/V/2015,,NULL,
75,48231,0000-00-00,39800000000,30000000000,0,200/605/416-206/2015 dan 53/KPU.Kab.014.329790/V/2015,,NULL,
76,52288,0000-00-00,33924400000,18735000000,0,188/112/NPHD/435.206/2015 dan 160/NPHD/KPU.Kab-014.329908/V/,,NULL,
77,46475,0000-00-00,47361400000,39990100000,0,188/255/KEP/429.011/2015 dan 900/1132/429.204/2015,,NULL,
78,1,0000-00-00,38000000000,38000000000,0,900/1505/404.6.4/2015 dan 265/KPU.kab.014.329888/V/2015,92_angg_a.php.jpg,NULL,
79,44903,0000-00-00,35098600000,35098600000,0,900/387/409.212/2015 dan 134/KPU-Kab-014.329671/V/2015,,NULL,
80,43927,0000-00-00,12081800000,11300500000,0,181/542/408.41/2015 dan 42/KPU.KAB/014.329826/V/2015,,NULL,
81,50358,0000-00-00,45469100000,27583200000,27583200000,188.4/422/414.107/2015 dan 59/KB/KPUKab-014.329920/2015,95_angg_NPHD.pdf,NULL,
82,61535,0000-00-00,23414500000,15000000000,0,400/07/SETDA/KM/2015 dan 01/KB/KPU-Kab-019.435755/TAHUN 2015,,NULL,
83,60963,0000-00-00,24622500000,13472700000,0,100/0490/PEM dan 015/KPU-KAB.019435724/III/2015,,NULL,
84,60488,0000-00-00,26732000000,21345600000,0,01/KB/KPU.Kab-019-435667/IV/2015,,NULL,
85,64396,0000-00-00,154000000000,110000000000,0,023 Tahun 2015 dan 001/KB/KPU.Prov-022/V/2015,,NULL,
86,64544,0000-00-00,25407900000,25407900000,0,181/01/KUM/2015 dan 270/069/KTB.KPU-022/IV/2015,,NULL,
87,66543,0000-00-00,13338700000,13338700000,0,14/Kum/2015 dan 01/KB/KPU-KOTA-022.436050/V/2015,,NULL,
88,66485,0000-00-00,17330200000,16128700000,0,181/17/KUM/2015 dan 01/KPUBJM-022436069/V/2015,,NULL,
89,66319,0000-00-00,12048000000,9000000000,0,200/004/NH-Adm.Kesra/2015 dan 001/KB/KPU-kab-022.435940/2015,104_angg_NT404.jpg,NULL,
90,65605,0000-00-00,16708000000,13600000000,0,900/257/2015 dan 52/PHD/KPU. KAB. 022.435987/V/2015 ,,NULL,
91,66158,0000-00-00,22000000000,15000000000,0,900/181/KESRA/2015,,NULL,
92,62673,0000-00-00,162252000000,102200000000,0,900/321.a/KEU dan 053/KPU-Prov-020/V/2015,,NULL,
93,62775,0000-00-00,25133400000,25133400000,25133400000,134.4/0694/BU/II/2015 dan 09A/KPU-Kab-020.435806/2015,109_angg_2015_08_02_15_50_52.pdf,NULL,
94,16646,0000-00-00,10500000000,10500000000,10500000000,120/KPU-DMI/004-435271/V/2015,111__angg_NPHD NO.03 NPHD APU 2015 ANTARA PEMKO DUMAI DENGAN KPU KOTA DUMAI.pdf,NULL,
95,67526,0000-00-00,30797600000,12000000000,0,119/1026/KEU.TU-P/IV/201 dan 119/173/KPU-Prov-21/IV/2015,,NULL,
96,66725,0000-00-00,73437513675,73437513675,16503624750,2.1/669/BKBPM-19/VIII/2015,113_angg_kukar-NPHDrev.pdf,NULL,
97,66570,0000-00-00,30368300000,30368300000,0,412.61/1346/Pemkab-Paser/V/2015 dan 77/KPU.021-436.163/V/201,,NULL,
98,66981,0000-00-00,37240000000,37240000000,0,205/NPHD/kesbangpol/V/2015 dan 159/KPU-Bru/V/2015,115_angg_NPHD.pdf,NULL,
99,14490,0000-00-00,11209200000,7500000000,1200000000,1/NPHD/KPU-Kota003435130/2015,116__angg_NPHD LOW RES.pdf,NULL,
100,67623,0000-00-00,40870000000,61680600000,0,119/11/KJS-KS/V/2015 dan 18/KPU-KS/021.436194/V/2015,,Partai Demokrat,
101,67623,0000-00-00,40870000000,61680600000,0,119/11/KJS-KS/V/2015 dan 18/KPU-KS/021.436194/V/2015,,Partai Kebangkitan Bangsa,
102,67623,0000-00-00,40870000000,61680600000,0,119/11/KJS-KS/V/2015 dan 18/KPU-KS/021.436194/V/2015,,Partai Golkar,
103,67623,0000-00-00,40870000000,61680600000,0,119/11/KJS-KS/V/2015 dan 18/KPU-KS/021.436194/V/2015,,Partai Amanat Nasional,
104,67313,0000-00-00,52987400000,52987400000,15480000000,270/1480/BKT-Politik/IV/2015 dan 1060.B/KB/KPU-Kutim-0214360,,NULL,
105,67582,0000-00-00,38505000000,38505000000,0,900/1069/BPKAD/IV/2015 dan 15/KPU-BPP/021.436208/IV/2015,119_angg_NPHD Pilkada Kota Balikpapan Tahun 2015.PDF,NULL,
106,26514,0000-00-00,13800000000,13620800000,0,13/DPKKAD/NPHD-PILKADA/2015 dan 12/KPU-BS-009656862/2015,,NULL,
107,26717,0000-00-00,9300000000,8614670000,0,900/24/NPHD/II/2015 dan 10/KPU.009-656820/IV/2015,,NULL,
108,26576,0000-00-00,13099700000,13099700000,0,001/NPHD/KPU-BT/V/2015 dan 280/15/DPPKAD/2015,122_angg_NPHD KPU KAB BANGKA TENGAH 2015.pdf,NULL,
109,26646,0000-00-00,11500000000,11500000000,0,415.4/06/1.20.03.11/2015 dan 016/kpubabar-009.436483/IV/2015,,NULL,
110,26814,0000-00-00,62500000000,62500000000,0,145/MOU-HIBAH/IV/2015 dan 01/NPHD/KPU-PROV-031/IV/2015,,NULL,
111,27142,0000-00-00,7613820000,7613820000,0,01/KDH.KKA/NPHD/2015 dan 01/NPHD/KPU-Kab-031.670870/V/2015,,NULL,
112,27050,0000-00-00,12681600000,8000000000,0,01/PH/V/2015 dan 14/KPU.KAB/031.656890/V/2015,,NULL,
113,26877,0000-00-00,9774990000,9774990000,0,0102/NPHD/PPKD/V/2015 dan 01/NPHD/KPU-Kab-031.436710/V/2015,,NULL,
114,26961,0000-00-00,15808800000,11665946000,0,0005/NPHD/2015,,NULL,
115,27204,0000-00-00,38000000000,15704700000,0,6/NPHD/HK/V/2015 dan 01/NPHD/KPU-Batam-031.436735/V/2015,,NULL,
116,23492,0000-00-00,24977400000,20000000000,20000000000,900/006/IV.09/2015,130_angg_NPHD.pdf,NULL,
117,26344,0000-00-00,5927010000,5000000000,0,01/NPHD/LTD-I/2015,,PDI Perjuangan,
118,26344,0000-00-00,5927010000,5000000000,0,01/NPHD/LTD-I/2015,,Partai Amanat Nasional,
119,26344,0000-00-00,5927010000,5000000000,0,01/NPHD/LTD-I/2015,,Partai Keadilan Sejahtera,
