sumber,tanggal,judul,link,kind,tags
kompas,12-Aug-15,"Tantang Risma, Ini Modal Rasiyo",http://regional.kompas.com/read/2015/08/11/14242121/Tantang.Risma.Ini.Modal.Rasiyo?utm_campaign=related&utm_medium=bp&utm_source=news&,news,Risma
kompas,11-Aug-15,Hari Ini Demokrat-PAN Ajukan Rasiyo-Abror untuk Tandingi Risma di Surabaya,http://regional.kompas.com/read/2015/08/11/12164181/Hari.Ini.Demokrat-PAN.Ajukan.Rasiyo-Abror.untuk.Tandingi.Risma.di.Surabaya?utm_campaign=related&utm_medium=bp-kompas&utm_source=news&,news,Risma
suara publik,12-Aug-15,"Surat Rekom PAN Masih Misterius, KPU Anggap Enteng",http://suarapubliknews.net/politik/item/3631-surat-rekom-pan-masih-misterius-kpu-anggap-enteng,news,
suara publik,12-Aug-15,"Ali Badri Sanjung Demokrat dan PAN, Tapi Sesalkan PKB",http://suarapubliknews.net/politik/item/3630-ali-badri-sanjung-demokrat-dan-pan-tapi-sesalkan-pkb,news,
suara publik,12-Aug-15,Pasangan Rasiyo-Abror Jalani Tes Kesehatan,http://suarapubliknews.net/politik/item/3627-pasangan-rasiyo-abror-jalani-tes-kesehatan,news,Rasiyo
suara publik,12-Aug-15,"Surat Rekom PAN Masih Misterius, KPU Anggap Enteng",http://suarapubliknews.net/politik/item/3631-surat-rekom-pan-masih-misterius-kpu-anggap-enteng,news,
suara publik,12-Aug-15,"Mengaku Kecewa, PDIP Surabaya Bakal ""Sikat"" Nasdem di Legeslatif",http://suarapubliknews.net/politik/item/3628-mengaku-kecewa-pdip-surabaya-bakal-sikat-nasdem-di-legeslatif,news,
surya online,12-Aug-15,Demokrat Ingin Undang SBY untuk Menangkan Rasiyo-Abror di Surabaya,http://surabaya.tribunnews.com/2015/08/12/demokrat-ingin-undang-sby-untuk-menangkan-rasiyo-abror-di-surabaya,news,Rasiyo
surya online,12-Aug-15,Demokrat Ingin Undang SBY untuk Menangkan Rasiyo-Abror di Surabaya,http://surabaya.tribunnews.com/2015/08/12/demokrat-ingin-undang-sby-untuk-menangkan-rasiyo-abror-di-surabaya,news,Rasiyo
surya online,12-Aug-15,Rekomendasi Asli PAN untuk Cawawali Surabaya Masih Misterius,http://surabaya.tribunnews.com/2015/08/12/rekomendasi-asli-pan-untuk-cawawali-surabaya-masih-misterus,news,
surya online,12-Aug-15,"Soekarwo Optimistis Rasiyo-Abror Menang, Relawan Risma Waspada",http://surabaya.tribunnews.com/2015/08/12/soekarwo-optimistis-rasiyo-abror-menang-relawan-risma-waspada,news,Risma
surya online,11-Aug-15,PDIP Surabaya Nilai Rasiyo Lawan Sepadan untuk Risma,http://surabaya.tribunnews.com/topics/pilwali-surabaya/?url=2015/08/11/pdip-surabaya-nilai-rasiyo-lawan-sepadan-untuk-risma,news,Risma
kabar gress,11-Aug-15,Rasiyo dan Abror Siap Tantang Trisakti,http://kabargress.com/2015/08/11/rasiyo-dan-abror-siap-tantang-trisakti/,news,Rasiyo
kabar gress,10-Aug-15,PAN dan Demokrat Berebut Walikota,http://kabargress.com/2015/08/10/pan-dan-demokrat-berebut-walikota/,news,
lensa indonesia,12-Aug-15,PAN Jatim pastikan rekom pencalonan Dhimam Abror sah,http://www.lensaindonesia.com/2015/08/12/pan-jatim-pastikan-rekom-pencalonan-dhimam-abror-sah.html,news,
lensa indonesia,11-Aug-15,Lho? surat rekomendasi PAN untuk pencalonan Dhimam Abror tidak ‘asli’,http://www.lensaindonesia.com/2015/08/11/lho-surat-rekomendasi-pan-untuk-pencalonan-dhimam-abror-tidak-asli.html#r=bacajuga,news,
lensa indonesia,12-Aug-15,"Jalani tes kesehatan, ternyata tulang bahu Rasiyo bergeser",http://www.lensaindonesia.com/2015/08/12/jalani-tes-kesehatan-tulang-bahu-rasiyo-bergeser.html#r=bacajuga,news,Rasiyo
lensa indonesia,11-Aug-15,"Rasiyo-Abror akhirnya daftar ke KPU, Pilkada Surabaya terselamatkan!",http://www.lensaindonesia.com/2015/08/11/rasiyo-abror-daftar-ke-kpu-pilkada-surabaya-terselamatkan.html,news,Rasiyo
lensa indonesia,11-Aug-15,"Jelang penutupan, sepasang sapi daftar ke KPU Surabaya",http://www.lensaindonesia.com/2015/08/11/jelang-penutupan-sepasang-sapi-daftar-ke-kpu-surabaya.html,news,
lensa indonesia,11-Aug-15,Rasiyo-Dhimam dan Syamsul Arifin-Warsito siap daftar ke KPU Surabaya,http://www.lensaindonesia.com/2015/08/11/rasiyo-dhimam-dan-syamsul-arifin-warsito-siap-daftar-ke-kpu-surabaya.html,news,Rasiyo
