kategori,tanggal,judul,deskripsi,page_url,,,
KOMISI VIII,25 Nopember 2013,Komisi VIII Apresiasi Kinerja BNPB,Komisi VIII DPR RI mengapresiasi kinerja BNPB (Badan Nasional Penanggulangan Bencana) dan Satgas Tanggap Darurat Bencana Gunung Sinabung yang dikepalai...,http://dpr.go.id/berita/detail/id/7115,,,
KOMISI VI,25 Nopember 2013,Komisi VI Bahas Persiapan Konferensi WTO di Bali,Komisi VI DPR RI bahas isu-isu penting dengan Menteri Perdagangan Gita Wirjawan untuk persiapan Konferensi Tingkat Menteri (KTM) WTO ke-9...,http://dpr.go.id/berita/detail/id/7112,,,
KOMISI VIII,25 Nopember 2013,Komisi VIII Desak Bupati Karo Bentuk BPBD,"Komisi VIII DPR RI menyarankan Bupati Karo, Kena Ukur Surbakti untuk segera mengusulkan pembentukan BPBD (Badan Penanggulangan Bencana Daerah) Karo....",http://dpr.go.id/berita/detail/id/7111,,,
KOMISI IX,25 Nopember 2013,Komisi IX Pertanyakan Progres Rekomendasi Panja Outsourching,"Anggota Komisi IX DPR RI, Indra mempertanyakan progres dari rekomendasi Panja Outsourching Komisi IX yang telah diserahkan secara resmi pada...",http://dpr.go.id/berita/detail/id/7110,,,
LAIN-LAIN,22 Nopember 2013,Kita Harus Miliki Mental Juara,"Sekjen DPR RI Winantuningtyastiti melepas 20 orang kontingen Setjen DPR RI untuk mengikuti Pekan Olahraga Nasional (Pornas) Korpri di Sulut,...",http://dpr.go.id/berita/detail/id/7108,,,
KOMISI III,22 Nopember 2013,Hakim Perancis Balas Kunjungan Komisi III,"Komisi III DPR RI menerima kunjungan Hakim Perancis, Lionel Banaiche yang juga Sekjen The Central Service for the Prevention of...",http://dpr.go.id/berita/detail/id/7106,,,
KOMISI III,21 Nopember 2013,Hakim Pemeriksa Pendahuluan Terkendala Masalah Teknis,Salah satu isu krusial yang diperkirakan akan memunculkan perdebatan dalam pembahasan RUU KUHAP adalah kehadiran Hakim Pemeriksa Pendahuluan yang akan...,http://dpr.go.id/berita/detail/id/7109,,,
KOMISI III,21 Nopember 2013,Panja RUU KUHAP Segera Bekerja,Wakil Ketua Komisi III DPR RI Azis Syamsuddin mengatakan Panitia Kerja (Panja) Revisi RUU KUHAP akan segera memulai pembahasan. Ia...,http://dpr.go.id/berita/detail/id/7105,,,
KOMISI IX,21 Nopember 2013,Target Menekan AKI Sulit Tercapai,Angka kematian ibu (AKI) masih tinggi di Indonesia. Dan target menekan AKI tersebut tampaknya masih sulit tercapai dalam waktu dekat....,http://dpr.go.id/berita/detail/id/7104,,,
KOMISI II,21 Nopember 2013,Komisi II DPR Setujui Revisi RUU Adminduk Dibawa Ke Paripurna,"“Setelah mendengarkan pandangan dari fraksi-fraksi dan Pemerintah, kami ingin meminta persetujuan, apakah Draf RUU atas Perubahan UU No.23 Tahun 2006...",http://dpr.go.id/berita/detail/id/7101,,,
PIMPINAN,21 Nopember 2013,DPR Bahas Isu Internasional Dengan Parlemen Rusia,"Isu-isu strategis internasional dibahas DPR dengan delegasi Parlemen Rusia. Dari soal konflik Suriah, konflik laut Cina Selatan, soal penyadapan, hingga...",http://dpr.go.id/berita/detail/id/7100,,,
PIMPINAN,21 Nopember 2013,"Soal Penyadapan, Sikap Indonesia dan Rusia Seirama","Panyadapan dalam dunia diplomasi merupakan kesalahan yang sangat fatal, karena menyangkut martabat dan kehormatan negara. Sikap Indonesia dan Rusia terutama...",http://dpr.go.id/berita/detail/id/7099,,,
PIMPINAN,21 Nopember 2013,Ketua DPR Gelar Pertemuan dengan Presiden Iran,"Dalam rangkaian kunjungan ke Iran Rabu (20/11), Delegasi DPR yang dipimpin Ketua DPR Marzuki Alie menggelar pertemuan dengan Presiden Negara...",http://dpr.go.id/berita/detail/id/7096,,,
PIMPINAN,21 Nopember 2013,DPR Dukung Program Nuklir Damai Iran,Pada hari kedua (Rabu 20/11) kunjungan Ketua DPR RI Marzuki Alie beserta rombongan di Iran berkesempatan mengunjungi beberapa tempat yang...,http://dpr.go.id/berita/detail/id/7095,,,
KOMISI IX,21 Nopember 2013,"Soal JKN, Pusat Harus Segera Koordinasi Dengan Daerah","Pelaksanaan program Jaminan Kesehatan Nasional (JKN) tinggal beberapa hari lagi, menjelang 1 Januari 2014. Pemerintah pusat dihimbau segera lakukan koordinasi...",http://dpr.go.id/berita/detail/id/7094,,,
LAIN-LAIN,21 Nopember 2013,Sekjen DPR Diskusi Fungsi Setjen dengan Delegasi Setjen Afghanistan,"Usai kemarin, Selasa (19/10) rombongan Delegasi Setjen Afghanistan diterima oleh Sekjen DPR Winantuningtyastiti, hari ini, Rabu (20/10), para delegasi kembali...",http://dpr.go.id/berita/detail/id/7093,,,
PIMPINAN,20 Nopember 2013,Priyo Sesalkan Sekda dari,"Wail Ketua DPR RI menyesalkan banyaknya Sekda (sekertaris daerah) yang berasal dari ""tahanan politik"" para Bupati. ""Tahanan Politik"" yang dimaksud...",http://dpr.go.id/berita/detail/id/7098,,,
PIMPINAN,20 Nopember 2013,Dewan Sayangkan Pemerintah Belum Umumkan Prosentase Alokasi Perangkat Desa,Wakil Ketua DPR RI Bidang Korpolkam Priyo Budi Santoso menyayangkan sikap pemerintah yang masih belum ingin mengumumkan berapa prosentase atau...,http://dpr.go.id/berita/detail/id/7097,,,
LAIN-LAIN,20 Nopember 2013,Timwas TKI DPR Minta Penghentian JP Dilegalkan,"Wakil Ketua Tim Pengawas (Timwas) TKI, Zulmiar Yanri mengapresiasi dihentikannya penerbitan Journey Performance (JP) visa oleh pemerintah Malaysia pada 1...",http://dpr.go.id/berita/detail/id/7092,,,
KOMISI IX,20 Nopember 2013,Pernyataan Menkes Memprihatinkan,"Menyusul pernyataan Menkes Nafsiah Mboi yang sangat kontroversial dengan mengatakan akan membunuh pelan-pelan para dokter yang berdemo, Anggota Komisi IX...",http://dpr.go.id/berita/detail/id/7091,,,
KOMISI V,20 Nopember 2013,Pembangunan Waduk Jati Gede Terkendala Soal Ganti Rugi,"Anggota Komisi V DPR dari Partai Golkar Eldie Suwandie mengatakan, persoalan pembangunan Waduk Jati Gede masih terkendala persoalan sosial dan...",http://dpr.go.id/berita/detail/id/7089,,,
B.A.K.N.,20 Nopember 2013,BAKN DPR RI - Tata Kelola BUMN Buruk,Berdasarkan hasil penelaahan Badan Akuntabilitas Keuangan Negara (BAKN)DPR RI terhadap Laporan Hasil Pemeriksaan BPK Semester I Tahun 2013 bahwa masih...,http://dpr.go.id/berita/detail/id/7088,,,
KOMISI V,20 Nopember 2013,DPR RI Akan Adakan Raker Gabungan Bahas Waduk Jati Gede,"DPR RI akan segera mengadakan Raker Gabungan dengan Menko perekonomian Hatta Radjasa, Kepala BPN Joyo Winoto, Menteri Keuangan Chatib Basri, Gubernur...",http://dpr.go.id/berita/detail/id/7086,,,
KOMISI III,20 Nopember 2013,Komisi III Segera RDP dengan KPK,Komisi III DPR RI segera mengagendakan Rapat Dengar Pendapat (RDP) dengan Komisi Pemberantasan Korupsi (KPK). Sejumlah isu penting terkait pemberantasan...,http://dpr.go.id/berita/detail/id/7085,,,
LAIN-LAIN,20 Nopember 2013,Timwas DPR Berharap Aktor Lain Bank Century Terungkap,"Anggota Tim Pengawas (Timwas) Kasus Bank Century Trimedya Panjaitan berharap, dengan ditahannya mantan Deputi Gubernur BI Budi Mulya maka aktor...",http://dpr.go.id/berita/detail/id/7084,,,
PIMPINAN,20 Nopember 2013,"Ketua DPR Kunjungi Iran, Temui Ketua Parlemen Ali Larijani",Ketua DPR RI Marzuki Alie beserta Delegasi DPR-RI Selasa (19/11) melakukan kunjungan muhibah ke negara Islam Republik Iran. Dalam kunjungannya...,http://dpr.go.id/berita/detail/id/7082,,,
LAIN-LAIN,20 Nopember 2013,BAKN Akan Umumkan Wacana Mengenai Keuangan BUMN,Badan Akuntabilitas Keuangan Negara (BAKN) DPR RI akan mengumumkan Wacana Keuangan Badan Usaha Milik Negara (BUMN) yang akan Dipisahkan dengan...,http://dpr.go.id/berita/detail/id/7081,,,
KOMISI IX,20 Nopember 2013,RUU Kesehatan Jiwa Beri Perlindungan Jiwa Secara Menyeluruh,"Wakil Ketua Komisi IX DPR RI, Nova Riyanti Yusuf mengharapkan RUU tentang Kesehatan Jiwa dapat memberikan perlindungan kepada orang dengan...",http://dpr.go.id/berita/detail/id/7080,,,
LAIN-LAIN,20 Nopember 2013,Timwas TKI Pertanyakan Uji Tulang dan Psikologis Dilakukan Belakangan,"Wakil Ketua Tim Pengawas DPR RI terhadap perlindungan TKI, Poempida Hidayatullah mempertanyakan kenapa gagasan cerdas seperti uji tulang dan uji...",http://dpr.go.id/berita/detail/id/7079,,,
KOMISI III,19 Nopember 2013,Komisi III Apresiasi Kapolri Izinkan Polwan Berjilbab,Wakil Ketua Komisi III DPR RI Al Muzammil Yusuf menyampaikan apresiasi atas sikap Kapolri yang membolehkan Polisi Wanita (Polwan) berjilbab...,http://dpr.go.id/berita/detail/id/7078,,,
LAIN-LAIN,19 Nopember 2013,Sekjen DPR Terima Delegasi Setjen Parlemen Afganistan,"Sekretaris Jenderal DPR RI Winantuningtyastiti beserta jajaran menerima Delegasi Sekretariat Jenderal Parlemen Afghanistan. Dalam sambutannya, Win (nama panggilan Winantuningtyastiti) menyatakan...",http://dpr.go.id/berita/detail/id/7077,,,
LAIN-LAIN,19 Nopember 2013,Dokumen Jadi Salah Satu Penyebab Utama Masalah TKI,Tim Pengawas DPR RI terhadap perlindungan TKI (Tenaga Kerja Indonesia) berharap proses birokrasi yang baik dan lebih profesional dalam hal ...,http://dpr.go.id/berita/detail/id/7076,,,
KOMISI VIII,19 Nopember 2013,Komisi VIII Kecewa Jalur Evakuasi Merapi Rusak Oleh Truk Penambang Pasir,"Wakil Ketua Komisi VIII DPR, Sayed Fuad Zakaria kecewa karena jalur evakuasi Gunung Merapi banyak yang rusak. Kerusakan itu konon...",http://dpr.go.id/berita/detail/id/7075,,,
PIMPINAN,19 Nopember 2013,"Ketua DPR- "" Bola"" itu Ada di KPK","Ketua DPR RI, Marzuki Alie mengatakan bahwa KPK (Komisi Pemberantasan Korupsi) lah yang sebenarnya memiliki data dan informasi terkait rencana...",http://dpr.go.id/berita/detail/id/7073,,,
PIMPINAN,19 Nopember 2013,Pemerintah Lembek Tangani Penyadapan,Wakil Ketua DPR Priyo Budi Santoso menyayangkan sikap Pemerintah Indonesia yang terkesan lembek dalam menangani kasuspenyadapan yang dilakukan oleh Amerika...,http://dpr.go.id/berita/detail/id/7072,,,
PARIPURNA,18 Nopember 2013,DPR Perlu Kritisi WTO dalam Konferensi di Bali,Anggota Komisi VII DPR RI Totok Daryanto menilai dampak positif keikutsertaan Indonesia dalam Organisasi Perdagangan Dunia (WTO) tidak signifikan. Oleh...,http://dpr.go.id/berita/detail/id/7071,,,
PIMPINAN,18 Nopember 2013,DPR Harapkan Semua Pihak Kawal Penyelesaian DPT,"Komisi Pemilihan Umum (KPU) pada 4 November lalu telah menetapkan Daftar Pemilih Tetap (DPT) sejumlah 186 juta jiwa, termasuk 10,4...",http://dpr.go.id/berita/detail/id/7070,,,
PIMPINAN,18 Nopember 2013,Penyertaan Saham Pemda di Inalum Harus Direspon,"Keinginan Pemda Sumatera Utara (Sumut) untuk ikut serta dalam penguasaan saham PT. Inalum, harus segera direspon oleh pemerintah pusat. Saham...",http://dpr.go.id/berita/detail/id/7069,,,
PARIPURNA,18 Nopember 2013,Dewan Minta Pemerintah Beri Perhatian Nasib TKI di Arab Saudi,"Pemerintah Arab Saudi, 4 November 2013 lalu telah mengakhiri proses amnesti bagi para pekerja migran di negerinya. Hingga akhir amnesti...",http://dpr.go.id/berita/detail/id/7067,,,
PIMPINAN,18 Nopember 2013,Ketua DPR Prihatin Minimnya Anggota Hadir di Paripurna,"Ketua DPR RI, Marzuki Alie prihatin dengan minimnya kehadiran anggota DPR dalam sidang paripurna. Padahal menurut Marzuki, tugas dan tanggung...",http://dpr.go.id/berita/detail/id/7066,,,
KOMISI III,18 Nopember 2013,Anarkisme di MK Tidak Pengaruhi Pembahasan Perppu,Anggota Komisi III DPR RI Martin Hutabarat menilai aksi anarkisme yang terjadi di ruang sidang Mahkamah Konstitusi menunjukkan publik mulai...,http://dpr.go.id/berita/detail/id/7065,,,
PARIPURNA,18 Nopember 2013,DPR RI Kecewa Penyadapan Yang Dilakukan Amerika Serikat dan Australia,DPR RI sangat prihatin terhadap kasus penyadapan yang dilakukan oleh Negara Amerika Serikat dan Australia. Penyadapan ini juga merupakan ujian...,http://dpr.go.id/berita/detail/id/7064,,,
KOMISI VIII,18 Nopember 2013,Komisi VIII Sesalkan Kelangkaan Buku Nikah,"Ketua Komisi VIII DPR RI, Ida Fauziyah sesalkan terjadinya kelangkaan buku nikah. Buku nikah itu memang hanya masalah administrasi, bukan...",http://dpr.go.id/berita/detail/id/7063,,,
PIMPINAN,18 Nopember 2013,Pemerintah Diminta Konsisten Kembangkan Energi Alternatif,"Kedaulatan di bidang energi harus terus ditunjukkan Indonesia, salah satunya dengan mengembangkan energi alternatif untuk menggantikan sumber energi fosil yang...",http://dpr.go.id/berita/detail/id/7062,,,
LAIN-LAIN,18 Nopember 2013,Perppu MK Relevan Dibahas dan Diterima DPR,"Citra Mahkamah Konstitusi (MK) menyusul tertangkapnya mantan Ketuanya Akil Mochtar dan rusuh di gedung MK baru-baru ini, sangat terpuruk dan...",http://dpr.go.id/berita/detail/id/7061,,,
KOMISI I,18 Nopember 2013,Indonesia Harus lebih Sensitif Soal Penyadapan,"Wakil Ketua Komisi I DPR TB Hasanuddin menegaskan, kita harus lebih sensitif dalam soal penyadapan. Pasalnya, masalah spinonase termasuk di...",http://dpr.go.id/berita/detail/id/7060,,,
PIMPINAN,18 Nopember 2013,Sebanyak 36 RUU Masuki Pembicaraan Tingkat I,"DPR memahami adanya kritik masyarakat mengenai rendahnya produk undang-undang yang dihasilkan. “ Dewan memahami kritik ini, namun masyarakat juga perlu...",http://dpr.go.id/berita/detail/id/7059,,,
PIMPINAN,18 Nopember 2013,Lembaga Manapun Harus Taat Pada Perppu,"Ketua DPR Marzuki Alie menegaskan, terbitnya Perppu sudah menjadi hukum positif, karena itu lembaga manapun harus taat pada Perppu, dan...",http://dpr.go.id/berita/detail/id/7058,,,
PIMPINAN,15 Nopember 2013,Siapkan SDM Handal Hadapi AFTA,Tenaga pendidik dan guru merupakan salah satu profesi yang mampu menopang serta melahirkan potensi Sumber Daya Manusia (SDM) yang berkualitas...,http://dpr.go.id/berita/detail/id/7057,,,
PIMPINAN,15 Nopember 2013,"Rakyat Berhak Atas Jaminan Kesehatan, Pendidikan dan Kesejahteraan","Ketua DPR RI Marzuki Alie didampingi isteri Hj. Asmawaty, melakukan kunjungan kerja ke wilayah Balige, Kabupaten Toba Samosir (Tobasa), Kamis...",http://dpr.go.id/berita/detail/id/7056,,,
LAIN-LAIN,15 Nopember 2013,DPR Pantau Langsung Permasalahan TKI di Malaysia,Tim Pengawas Perlindungan Tenaga Kerja Indonesia di Luar Negeri - TP2TKILN DPR RI berkunjung ke Malaysia untuk memantau secara langsung...,http://dpr.go.id/berita/detail/id/7055,,,
KOMISI VIII,14 Nopember 2013,Komisi VIII Sesalkan Tingginya Kekerasan Perempuan di Papua Barat,"Komisi VIII sesalkan masih tingginya angka kekerasan terhadap perempuan di Papua Barat. Hal tersebut diungkapkan Anggota Komisi VIII DPR RI,...",http://dpr.go.id/berita/detail/id/7053,,,
LAIN-LAIN,13 Nopember 2013,Pentingnya Konsolidasi Antar Unit Kerja,Tahun anggaran 2014 tinggal kurang dari dua bulan lagi. Semua Kementerian dan Lembaga Negara mulai mempersiapkan Rencana Kerja Anggaran Kementerian/Lembaga...,http://dpr.go.id/berita/detail/id/7054,,,
PIMPINAN,13 Nopember 2013,DPR Bisa Bantu Krisis Nuklir Iran,"Krisis nuklir Iran masih terus berlanjut. Perundingan dengan negara-negara Barat belum mendapatkan titik temu. Namun demikian, Iran punya hak untuk...",http://dpr.go.id/berita/detail/id/7052,,,
KOMISI VIII,13 Nopember 2013,Komisi VIII Tampung Aspirasi Warga Wosi Yang Tolak Relokasi,"Dalam kunjungan kerjanya beberapa waktu lalu ke bekas lokasi banjir di distrik Wosi Dalam, Manokwari, Papua Barat, Komisi VIII DPR...",http://dpr.go.id/berita/detail/id/7051,,,
PIMPINAN,13 Nopember 2013,Penyadapan Asing Menginjak Kedaulatan Negara,"Menyusul kasus penyadapan yang dilakukan intelijen Amerika ke sejumlah negara termasuk Indonesia, telah menuai protes keras karena merusak hubungan antarnegara....",http://dpr.go.id/berita/detail/id/7050,,,
PIMPINAN,12 Nopember 2013,Marzuki- Jangan Kirim TKI Yang Tak Kompeten,"Menyusul kasus over stay para TKI di Arab Saudi, pemerintah Indonesia dinilai kurang perhatian dan empati pada nasib tenaga kerjanya...",http://dpr.go.id/berita/detail/id/7049,,,
PIMPINAN,12 Nopember 2013,Pemimpin Besar Harus Punya Gagasan Besar,"Pemimpin besar di mana pun harus selalu punya gagasan besar. Tanpa itu, ia tak akan pernah besar. Semua gagasan besar...",http://dpr.go.id/berita/detail/id/7048,,,
KOMISI VIII,12 Nopember 2013,Komisi VIII Dorong Pembangunan Gereja Situs Pulau Mansinam,Komisi VIII DPR mendorong Kementerian Agama untuk ikut berperan dalam proyek pembangunan situs religi Pulau Mansinam. Hal tersebut diungkapkan Wakil...,http://dpr.go.id/berita/detail/id/7047,,,
PIMPINAN,11 Nopember 2013,Marzuki Merasa Difitnah,Ketua DPR RI Marzuki Alie mengklarifikasi pemberitaan di media yang menyebutnya menerima suap Rp.250juta terkait proyek pembangunan Gedung DPR tahun...,http://dpr.go.id/berita/detail/id/7046,,,
KOMISI IX,11 Nopember 2013,Pemerintah Harus Perhatikan Pendidikan Anak-anak TKW,Para tenaga kerja wanita (TKW) yang bekerja di luar negeri telah meninggalkan hak asuh dan pendidikan anak-anaknya selama bertahun-tahun. Perkembangan...,http://dpr.go.id/berita/detail/id/7045,,,
PIMPINAN,11 Nopember 2013,Ketua DPR RI Rayakan Ultah Secara Sederhana,"Ketua DPR RI, Marzuki Alie, Senin (11/11) merayakan ulangtahunnya yang ke-58. Dalam perayaan yang cukup sederhana di ruang rapat pimpinan...",http://dpr.go.id/berita/detail/id/7044,,,
PIMPINAN,11 Nopember 2013,"Banyaknya TKI Diancam Deportasi, Kegagalan Kita Semua","Ketua DPR Marzuki Alie menegaskan, banyaknya TKI di Arab Saudi yang terancam dideportasi karena tidak bisa memperpanjang ijin dan kontrak...",http://dpr.go.id/berita/detail/id/7043,,,
PIMPINAN,11 Nopember 2013,Ketua DPR Berikan Apresiasi Kepada BSI,"Bina Sarana Informatika (BSI) adalah sekolah yang memberikan pendidikan kepada anak-anak bangsa pada level kejuruan, tidak pada level sarjana atau...",http://dpr.go.id/berita/detail/id/7042,,,
KOMISI V,11 Nopember 2013,Anggota DPR Hikmat Tomet Meninggal Dunia,"Anggota Fraksi Partai Golkar ( FPG) DPR-RI Hikmat Tomet meninggal dunia Sabtu (9/11) di RSPAD Gatot Subroto, Jakarta. Jenazah Anggota...",http://dpr.go.id/berita/detail/id/7041,,,
LAIN-LAIN,11 Nopember 2013,3 Setjen Peringati Hari Pahlawan,"Karyawan Sekretariat Jenderal (Setjen) Dewan Perwakilan Rakyat (DPR), Majelis Permusyawaratan Rakyat (MPR) dan Dewan Perwakilan Daerah (DPD) berkumpul bersama memperingati...",http://dpr.go.id/berita/detail/id/7040,,,
KOMISI IX,08 Nopember 2013,DPR Tunggu Pemerintah Bahas RUU Kesehatan Jiwa,Tidak adanya keberpihakan pelayanan kesehatan yang menitikberatkan pada kesehatan jiwa mengakibatkan banyak pihak kesulitan mengobati anggota keluarga yang mengalami gangguan...,http://dpr.go.id/berita/detail/id/7039,,,
LAIN-LAIN,07 Nopember 2013,Setjen DPR Tanggap Literasi Informasi,Perpustakaan DPR RI mengadakan workshop Literasi Informasi untuk karyawan Sekretariat Jenderal DPR RI. Kegiatan yang dilaksanakan dalam masa reses ini...,http://dpr.go.id/berita/detail/id/7037,,,
PIMPINAN,04 Nopember 2013,Indonesia Harus Protes Keras Terhadap Penyadapan,Australia dan Amerika Serikat terungkap telah menggunakan fasilitas penyadapan melalui Kedutaan Besarnya masing-masing di Jakarta. Hal ini terungkap ketika media...,http://dpr.go.id/berita/detail/id/7036,,,
KOMISI X,04 Nopember 2013,Komisi X Sambut Baik Pembangunan Asrama Siswa di Perbatasan,Rencana Pemerintah yang akan membangun dan mengembangkan 15 buah asrama untuk siswa di seluruh perbatasan di Indonesia mendapat apresiasi KomisI X...,http://dpr.go.id/berita/detail/id/7035,,,
KOMISI X,04 Nopember 2013,Komisi X Pantau Pelaksanaan Kurikulum 2013 di Pontianak,Komisi X DPR RI yang dipimpin Wakil Ketua Komisi Utut Adianto dan rombongan belum lama ini melakukan kunjungan kerja ke beberapa...,http://dpr.go.id/berita/detail/id/7034,,,
PIMPINAN,04 Nopember 2013,Ketua DPR Terima Kunjungan Dubes Rusia,"Ketua DPR-RI Marzuki Alie Senin (4/11) sore, menerima kunjungan Duta Besar Rusia untuk Indonesia Mikhail Haluzin, . Kehadiran Mikhail ke...",http://dpr.go.id/berita/detail/id/7033,,,
LAIN-LAIN,04 Nopember 2013,"Meriah, Suasana Temu Kangen Wartawan DPR dan Gubernur Jawa Tengah","Suasana gembira, meriah dan penuh canda tawa mewarnai acara temu kangen antara para wartawan Kordinatoriat DPR dengan Gubernur Jawa Tengah...",http://dpr.go.id/berita/detail/id/7032,,,
LAIN-LAIN,04 Nopember 2013,Kepercayaan Kepada Lembaga Negara Harus Dibangun Kembali,"Direktur Center for Election and Political Party Fisip UI Reni Suwarso mengatakan, keberadaan Tim Ahli UI di Kehumasan DPR dimaksudkan...",http://dpr.go.id/berita/detail/id/7031,,,
PIMPINAN,04 Nopember 2013,Industri Pers Harus Kembangkan Pers Nasionalis,"Industri pers harus mengembangkan indealismenya menjadi pers nasionalis, yaitu pers yang membela kepentingan nasional dan selalu melakukan kontrol sosial. Hal...",http://dpr.go.id/berita/detail/id/7029,,,
LAIN-LAIN,01 Nopember 2013,Timwas TKI DPR Akan Panggil Pihak Terkait Permasalahan TKI,"Timwas TKI DPR akan memanggil pihak-pihak terkait untuk menyelesaikan permasalahan TKI, terutama terhadap para TKI yang menjadi Anak Buah Kapal...",http://dpr.go.id/berita/detail/id/7030,,,
KOMISI V,01 Nopember 2013,Komisi V DPR RI Support Tiga Pembangunan Infrastruktur di Papua,"Komisi V DPR RI dalam hal pembangunan infrastruktur akan terus mengawal dan tetap men-support tiga pembangunan infrastruktur di Papua, yakni...",http://dpr.go.id/berita/detail/id/7025,,,
KOMISI V,01 Nopember 2013,Komisi V DPR Dukung Anggaran Untuk Provinsi Papua,Komisi V DPR RI mendukung anggaran pembangunan dalam rangka mewujudkan harapan masyarakat Papua. Kendala koneksitas antarwilayah di Provinsi Papua menjadi...,http://dpr.go.id/berita/detail/id/7024,,,
KOMISI V,31 Oktober 2013,Komisi V Dukung Kaltara Punya Pelabuhan Ekspor,Komisi V DPR RI mendukung Kalimantan Utara (Kaltara) segera mempunyai pelabuhan bertaraf ekspor yang dapat mendorong pertumbuhan ekonomi di provinsi...,http://dpr.go.id/berita/detail/id/7038,,,
KOMISI V,31 Oktober 2013,Komisi V Dukung Kaltara Punya Kantor SAR Sendiri,"Tantangan geografis serta lalu lintas transportasi baik di darat, laut dan udara yang padat membuat resiko kecelakaan di Provinsi Kaltara...",http://dpr.go.id/berita/detail/id/7027,,,
KOMISI V,31 Oktober 2013,Pengembangan Bandara Juwata Belum Sesuai Pertumbuhan Penumpang,Anggota Tim Kunkungan Kerja (Kunker) Komisi V DPR RI Agung Budi Santoso menilai pengembangan Bandara Internasional Juwata belum sesuai tantangan...,http://dpr.go.id/berita/detail/id/7026,,,
KOMISI VI,31 Oktober 2013,Komisi VII DPR Pantau Persoalan Migas di Sumsel,"Ketua tim rombongan Nazarudin Kiemas dari PDIP mengatakan, kunjungan Komisi VII DPR ke Sumsel dalam rangka ingin mengetahui sejauhmana pemerintah...",http://dpr.go.id/berita/detail/id/7023,,,
KOMISI VII,31 Oktober 2013,Komisi VII DPR Akan Panggil SKK Migas terkait Illegal Tapping di Sumsel,Tim Kunker Komisi VII DPR ke Sumsel akan memanggil Kepala SKK Migas dan jajarannya untuk meminta penjelasannya terkait illegal tapping...,http://dpr.go.id/berita/detail/id/7022,,,
KOMISI VII,31 Oktober 2013,Komisi VII DPR Kritisi Kinerja PLN Cabang Sumsel,Komisi VII DPR kritisi kinerja PLN Cabang Sumatera Selatan. Pasalnya masih maraknya pemadaman bergilir di wilayah tersebut. Hal itu mengemuka...,http://dpr.go.id/berita/detail/id/7021,,,
LAIN-LAIN,31 Oktober 2013,Pembekalan Asisten Anggota DPR Sangat Berwawasan,"Acara pembekalan para asisten anggota DPR RI selama dua hari berturut-berturut, Rabu-Kamis (30-31/10) tampak sangat konfrehensif dan berwawasan. Para asisten...",http://dpr.go.id/berita/detail/id/7020,,,
LAIN-LAIN,31 Oktober 2013,Kontestasi Politik Beri Peluang Bagi Pemuda,"Suksesi kepemimpinan nasional tinggal menunggu waktu saja. Lewat Pemilu 2014, para tokoh muda harus diberi ruang yang seluas-luasnya untuk ikut...",http://dpr.go.id/berita/detail/id/7019,,,
KOMISI V,31 Oktober 2013,Komisi V DPR Tinjau Rusunawa Kampus UBT,Tim Kunjungan Kerja (Kunker) Komisi V DPR RI meninjau kemajuan pembangunan Rusunawa (Rumah Susun Sewa) Kampus Universitas Borneo Tarakan (UBT)....,http://dpr.go.id/berita/detail/id/7018,,,
KOMISI VII,31 Oktober 2013,Komisi VII DPR Dikecewakan Gubernur Sumsel,Komisi VII DPR kecewa karena ketidakhadiran Gubernur Sumsel Alex Noerdin dan para walikota dan Bupati se-Sumatera Selatan. Pasalnya kunjungan kali...,http://dpr.go.id/berita/detail/id/7016,,,
KOMISI VIII,30 Oktober 2013,DPR Minta Pemerintah Dukung Anggaran Pendidikan Agama Islam di Aceh,"Komisi VIII DPR RI meminta Pemerintah lebih besar memperhatikan pendidikan-pendidikan keagamaan di Aceh, khususnya agama Islam. Kualitas Sumber Daya Manusia...",http://dpr.go.id/berita/detail/id/7017,,,
PIMPINAN,30 Oktober 2013,DPR Harapkan Sesuatu Yang Lain Dari Diplomat Indonesia,"Wakil Ketua DPR Priyo Budi Santoso di Gedung Nusantara III Komplek Parlemen, Senayan menerima 33 Diplomat Senior Indonesia, dan 6...",http://dpr.go.id/berita/detail/id/7009,,,
LAIN-LAIN,30 Oktober 2013,Sekjen DPR Buka Pembekalan Asisten Anggota DPR,"Acara pembekalan para asisten anggota DPR RI resmi dibuka Sekretaris Jenderal (Sekjen) DPR RI Winantuningtyastiti, Rabu (30/10). Para asisten anggota...",http://dpr.go.id/berita/detail/id/7008,,,
KOMISI VIII,30 Oktober 2013,Komisi VIII Harapkan Solusi Jangka Panjang Atasi Banjir Wosi,Harus ada solusi jangka panjang yang sifatnya menyeluruh untuk mengatasi banjir yang hampir setiap tahun menerjang perumahan warga yang berada...,http://dpr.go.id/berita/detail/id/7006,,,
KOMISI V,30 Oktober 2013,"Hetifah, Wakil Rakyat Yang Suka Blusukan",Pertemuan Tim Kunjungan Kerja Komisi V DPR RI dengan jajaran Muspida Provinsi Kalimantan Utara (Kaltara) menjadi semakin hangat ketika Penjabat....,http://dpr.go.id/berita/detail/id/7004,,,
KOMISI V,30 Oktober 2013,Izin Penerbangan di Kaltara Jangan Dipersulit,Komisi V DPR RI meminta pemerintah tidak mempersulit birokrasi pengurusan izin penerbangan di sejumlah jalur perintis di Provinsi Kalimantan Utara...,http://dpr.go.id/berita/detail/id/7003,,,
