kategori,tanggal,judul,deskripsi,page_url,,,
KOMISI I,5/03/2016,Legislator Desak Pemerintah Selamatkan 4 WNI,Terdapat simpang siur informasi terkait proses penyelamatan 10 anak buah kapal (ABK) WNI yang disandera oleh kelompok Abu Sayyaf di...,http://dpr.go.id/berita/detail/id/13065,,,
KOMISI V,5/03/2016,Komisi V DPR RI Dukung Nusa Tenggara Timur Bangun Bandara Baru,"Komisi V DPR RI mendukung rencana pembangunan bandara baru sebagai pengganti bandara El Tari yang ada di kota Kupang, Nusa...",http://dpr.go.id/berita/detail/id/13064,,,
KOMISI V,5/03/2016,Kementerian PU Diminta Koordinasi dengan Pemda Masalah Ganti Rugi Tanah,"Pembangunan Tol Medan-Binjai Seksi I di Kota Medan terkendala masalah ganti rugi tanah. Terkait hal tersebut, Wakil Ketua Komisi V...",http://dpr.go.id/berita/detail/id/13063,,,
KOMISI V,5/03/2016,Dewan Harap Ada Stasiun Singgah Rute Kereta Bandara Kualanamu - Medan,Ketua Tim Kunjungan Kerja Komisi V DPR ke Provinsi Sumatera Utara Muhidin M. Said mengharapkan agar dibuatkan stasiun-stasiun persinggahan bagi...,http://dpr.go.id/berita/detail/id/13062,,,
KOMISI X,5/03/2016,Komisi X DPR Serap Aspirasi Di Jambi,"Tim Komisi X DPR RI dipimpin Wakil Ketua Komisi X Sutan Adil Hendra lakukan Kunjungan Kerja ke Provinsi Jambi, Selasa-Rabu...",http://dpr.go.id/berita/detail/id/13061,,,
KOMISI VIII,5/03/2016,Komisi VIII Akan Kawal Dana PKH Pastikan Sampai ke Masyarakat,Komisi VIII DPR telah menyetujui digulirkannya dana Program Keluarga Harapan (PKH) sebesar Rp 12 Triliun yang dimanfaatkan bagi 6 juta...,http://dpr.go.id/berita/detail/id/13060,,,
KOMISI IV,5/03/2016,"Komisi IV DPR Temukan Impor Cabai Keriting Kering di Belawan, Medan","Tim Kunjungan Kerja Komisi IV DPR RI yang dipimpin oleh Ketua Komisi IV, Edhi Prabowo menemukan berkarung-karung cabai keriting kering...",http://dpr.go.id/berita/detail/id/13059,,,
KOMISI IV,5/03/2016,Komisi IV DPR Apresiasi Pembinaan Masyarakat Sekitar Hutan Mangrove,"Ketua komisi IV DPR RI, Edhi Prabowo mengapresiasi pembinaan yang dilakukan Kementerian Kehutanan dan Lingkungan hidup terhadap masyarakat di sekitar...",http://dpr.go.id/berita/detail/id/13058,,,
KOMISI VIII,5/03/2016,"Minat Naik Haji Di Aceh Tinggi, Kuota Tak Kunjung Bertambah",Tingginya minat masyarakat Aceh untuk menunaikan ibadah haji belum bisa diakomodir akibat masih belum bertambahnya kuota haji yang diperoleh. Hal...,http://dpr.go.id/berita/detail/id/13057,,,
KOMISI IV,5/03/2016,Pemerintah Harus Perkuat Karantina,"Anggota Komisi IV DPR RI, Fadly Nurzal meminta pemerintah harus memperkuat perkarantinaan Indonesia. Karena Karantina menjadi sebuah bentuk pertahanan negara....",http://dpr.go.id/berita/detail/id/13056,,,
KOMISI VIII,5/03/2016,Kanwil Kemenag Papua Barat Kekurangan PNS,Kantor Wilayah (Kanwil) Kementerian Agama di Provinsi Papua Barat sangat kekurangan tenaga PNS. Maratorium PNS yang kini masih diberlakukan perlu...,http://dpr.go.id/berita/detail/id/13055,,,
KOMISI III,5/03/2016,Komisi III DPR Soroti Pengelolaan Lapas Kelas II A Manado,"Pengelolaan Lapas harus konsisten dengan Undang-Undang Nomor 12 Tahun 1995 tentang Pemasyarakatan. Dalam UU tersebut, pembinaan Warga Binaan Pemasyarakatan berdasarkan...",http://dpr.go.id/berita/detail/id/13054,,,
KOMISI III,5/03/2016,Fasilitas Lapas Kelas II A Manado Tidak Manusiawi,"Wakil Ketua Komisi III DPR Trimediya Panjaitan menilai fasilitas Lapas Kelas II A Manado tidak manusiawi. Pasalnya, Ia menemukan adanya...",http://dpr.go.id/berita/detail/id/13053,,,
KOMISI X,5/03/2016,Negara Diharapkan Mampu Ciptakan Pendidikan Berkeadilan,"Ing ngarso sung tuladha, ing madya mangun karsa, tutwuri handayani yang berarti di depan menjadi teladan, di tengah memberi semangat,...",http://dpr.go.id/berita/detail/id/13052,,,
KOMISI X,5/03/2016,Komisi X DPR : Kalimantan Tengah Berpotensi Kembangkan Wisata Alam dan Budaya,"Komisi X DPR RI menilai Provinsi Kalimantan Tengah mempunyai potensi yang dapat dikembangkan sebagai pusat wisata alam dan wisata budaya,...",http://dpr.go.id/berita/detail/id/13051,,,
