id,id_provinsi,name,kind
75403,73,KAB. TORAJA UTARA,KABUPATEN
76290,74,KAB. MUNA,KABUPATEN
76567,74,KAB. KONAWE SELATAN,KABUPATEN
77108,74,KAB. WAKATOBI,KABUPATEN
77368,74,KAB. KONAWE UTARA,KABUPATEN
77525,74,KAB. BUTON UTARA,KABUPATEN
77622,74,KAB. KOLAKA TIMUR,KABUPATEN
77768,74,KAB. KONAWE KEPULAUAN,KABUPATEN
78244,75,KAB. GORONTALO,KABUPATEN
78559,75,KAB. BONE BOLANGO,KABUPATEN
78743,75,KAB. PAHUWATO,KABUPATEN
79057,76,KAB. MAMUJU UTARA,KABUPATEN
79133,76,KAB. MAMUJU,KABUPATEN
79628,76,KAB. MAJENE,KABUPATEN
79719,76,KAB. MAMUJU TENGAH,KABUPATEN
80379,81,KAB. SERAM BAGIAN TIMUR,KABUPATEN
80691,81,KAB. KEPULAUAN ARU,KABUPATEN
80821,81,KAB. MALUKU BARAT DAYA,KABUPATEN
80956,81,KAB. BURU SELATAN,KABUPATEN
81134,82,KAB. HALMAHERA BARAT,KABUPATEN
81383,82,KAB. HALMAHERA UTARA,KABUPATEN
81597,82,KAB. HALMAHERA SELATAN,KABUPATEN
81876,82,KAB. KEPULAUAN SULA,KABUPATEN
81967,82,KAB. HALMAHERA TIMUR,KABUPATEN
82174,82,KAB. PULAU TALIABU,KABUPATEN
82254,82,KOTA TERNATE,KOTA
82339,82,KOTA TIDORE KEPULAUAN,KOTA
82438,91,KAB. MERAUKE,KABUPATEN
83188,91,KAB. NABIRE,KABUPATEN
84451,91,KAB. KEEROM,KABUPATEN
84550,91,KAB. PEGUNUNGAN BINTANG,KABUPATEN
84862,91,KAB. YAHUKIMO,KABUPATEN
86017,91,KAB. WAROPEN,KABUPATEN
86129,91,KAB. BOVEN DIGOEL,KABUPATEN
86442,91,KAB. ASMAT,KABUPATEN
86683,91,KAB. SUPIORI,KABUPATEN
86727,91,KAB. MAMBERAMO RAYA,KABUPATEN
86870,91,KAB. YALIMO,KABUPATEN
88368,92,KAB. MANOKWARI,KABUPATEN
88552,92,KAB. FAK FAK,KABUPATEN
88719,92,KAB. SORONG SELATAN,KABUPATEN
88856,92,KAB. RAJA AMPAT,KABUPATEN
89002,92,KAB. TELUK BINTUNI,KABUPATEN
89144,92,KAB. TELUK WONDAMA,KABUPATEN
89235,92,KAB. KAIMANA,KABUPATEN
89855,92,KAB. MANOKWARI SELATAN,KABUPATEN
89919,92,KAB. PEGUNUNGAN ARFAK,KABUPATEN
