id,province_id,name,link,other_link,explanation,member_link
327,72,Kabupaten Tojo Una-Una,http://tojounaunakab.kpu.go.id/,,Tidak Aktif ,http://www.kpu.go.id/koleksigambar/DATA_ANGGOTA_DPRD_KAB._TOJO_UNA-UNA_.pdf
328,72,Kabupaten Toli-Toli,http://tolitolikab.kpu.go.id/,,Tidak Aktif ,
329,72,Kabupaten Sigi,http://sigikab.kpu.go.id/,,Tidak Aktif ,
330,72,Kota Palu,http://palukota.kpu.go.id/,,Tidak Aktif ,
331,74,Kabupaten Bombana,http://bombanakab.kpu.go.id/,,Tidak Aktif,
332,74,Kabupaten Buton,http://butonkab.kpu.go.id/,,Tidak Aktif,
333,74,Kabupaten Buton Selatan,,,,
334,74,Kabupaten Buton Tengah,,,,
335,74,Kabupaten Buton Utara,,,,
336,74,Kabupaten Kolaka,https://kpukolaka.wordpress.com/author/ceca444804/,,,
337,74,Kabupaten Kolaka Timur,,,,
338,74,Kabupaten Kolaka Utara,http://kolakautarakab.kpu.go.id/,,Tidak Aktif,
339,74,Kabupaten Konawe,http://kpukonawe.blogspot.com/,,,
340,74,Kabupaten Konawe Selatan,http://kolakautarakab.kpu.go.id/,,Tidak Aktif,
341,74,Kabupaten Konawe Utara,http://konaweutarakab.kpu.go.id/,,Tidak Aktif,
342,74,Kabupaten Konawe Kepulauan,,,,
343,74,Kabupaten Muna,http://munakab.kpu.go.id/,,Tidak Aktif,
344,74,Kabupaten Muna Barat,,,,
345,74,Kabupaten Wakatobi,http://kpudkabwakatobi.blogspot.com/,,,
346,74,Kota Bau-Bau,http://kpu.baubaukota.go.id/,,,
347,74,Kota Kendari,http://kpukotakendari.blogspot.com/2013/08/daftar-calon-tetap-anggota-dprd-kota.html,,,
348,19,Kabupaten Bangka,http://www.kpu-bangkakab.go.id/,,,
349,19,Kabupaten Bangka Barat,http://bangkabaratkab.kpu.go.id/,,Tidak Aktif,
350,19,Kabupaten Bangka Selatan,http://kpu-baselkab.go.id/,,,
351,19,Kabupaten Bangka Tengah,http://kpu-bangkatengahkab.go.id/,,,
352,19,Kabupaten Belitung,,,,
353,19,Kabupaten Belitung Timur,http://belitungtimurkab.kpu.go.id/,,Tidak Aktif,
354,19,Kota Pangkal Pinang,http://kpu-pangkalpinangkota.go.id/news/terkini,,,
355,34,Kabupaten Bantul,http://kpud-bantulkab.go.id/,,,
356,34,Kabupaten Gunung Kidul,http://www.kpu-gunungkidulkab.go.id/,http://kpu-gunungkidul.blogspot.com/,,
357,34,Kabupaten Kulon Progo,http://kpukabkp.blogspot.com/,,,
358,34,Kabupaten Sleman,https://kpusleman.wordpress.com/,,,
359,34,Kota Yogyakarta,http://kpu-jogjakota.go.id/,,,
360,11,Kabupaten Aceh Selatan,http://kip.acehselatankab.go.id/,,Tidak Aktif,
361,11,Kabupaten Aceh Tenggara,https://acehtenggarakab.kpu.go.id/,http://kipacehtenggara.blogspot.com/,Tidak Aktif,
362,11,Kabupaten Aceh Timur,http://acehtimurkab.kpu.go.id/,,Tidak Aktif,
363,11,Kabupaten Aceh Tengah,http://acehtengahkab.kpu.go.id/,,Tidak Aktif,
364,11,Kabupaten Aceh Barat,http://www.kip-acehbaratkab.go.id/,,Tidak Aktif,
365,11,Kabupaten Aceh Besar,http://www.kip-acehbesarkab.go.id/,,Aktif,
366,11,Kabupaten Pidie,http://www.kip-pidiekab.go.id/berita-kip-pidie-sosialisasikan-peraturan-kpu-no5-tahun-2014.html,,Aktif,
367,11,Kabupaten Aceh Utara,,http://kpuacehutara.blogspot.com/,,
368,11,Kabupaten Simeulue,http://kipsimeulue.blogspot.com/,,Aktif,
369,11,Kabupaten Aceh Singkil,http://acehsingkilkab.kpu.go.id/,,Tidak Aktif,
370,11,Kabupaten Bireuen,http://kpu-bireuenkab.go.id/,,Suspend,
371,11,Kabupaten Aceh Barat Daya,http://kip-acehbaratdayakab.go.id/,,Suspend,
372,11,Kabupaten Gayo Lues,http://kipgayolues.org/,,Tidak Aktif,
373,11,Kabupaten Aceh Jaya,http://kip-acehjayakab.go.id/,,Aktif,
